Year,water_condition,totalWater_m,GDD,FIPS,Crop,yield_kgHa_pred_fixed
2069,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3419.3070410714704
2069,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5645.4772617823455
2069,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7646.373424661231
2070,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3416.82322954426
2070,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5684.636624939029
2070,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7741.019411317824
2071,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3414.339418017049
2071,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5723.795988095713
2071,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7835.665397974417
2072,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3411.8556064898394
2072,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5762.955351252397
2072,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,7930.311384631011
2073,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3409.3717949626293
2073,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5802.114714409081
2073,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8024.9573712876045
2074,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3406.8879834354193
2074,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5841.274077565764
2074,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8119.603357944196
2075,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3404.4041719082093
2075,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5880.433440722448
2075,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8214.24934460079
2076,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3401.9203603809997
2076,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5919.592803879132
2076,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8308.895331257383
2077,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3399.4365488537896
2077,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5958.752167035816
2077,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8403.541317913976
2078,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3396.9527373265796
2078,median,0.5967868857319554,2658.5670654296923,20005,Wheat,5997.911530192499
2078,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8498.187304570569
2079,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3394.468925799369
2079,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6037.070893349183
2079,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8592.833291227162
2080,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3391.985114272158
2080,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6076.230256505867
2080,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8687.479277883755
2081,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3389.5013027449486
2081,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6115.389619662551
2081,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8782.125264540347
2082,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3387.0174912177386
2082,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6154.548982819235
2082,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8876.77125119694
2083,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3384.5336796905276
2083,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6193.708345975919
2083,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,8971.417237853535
2084,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3382.0498681633176
2084,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6232.867709132603
2084,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9066.063224510128
2085,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3379.566056636108
2085,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6272.027072289287
2085,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9160.70921116672
2086,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3377.082245108898
2086,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6311.18643544597
2086,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9255.355197823314
2087,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3374.598433581688
2087,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6350.345798602654
2087,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9350.001184479906
2088,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3372.1146220544774
2088,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6389.505161759338
2088,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9444.647171136501
2089,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3369.6308105272674
2089,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6428.664524916021
2089,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9539.293157793094
2090,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3367.146999000058
2090,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6467.823888072705
2090,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9633.939144449687
2091,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3364.663187472848
2091,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6506.983251229389
2091,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9728.58513110628
2092,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3362.179375945637
2092,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6546.142614386074
2092,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9823.231117762873
2093,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3359.6955644184263
2093,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6585.301977542757
2093,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,9917.877104419465
2094,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3357.2117528912167
2094,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6624.461340699441
2094,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10012.523091076058
2095,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3354.7279413640063
2095,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6663.620703856125
2095,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10107.169077732651
2096,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3352.2441298367958
2096,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6702.780067012809
2096,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10201.815064389244
2097,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3349.760318309586
2097,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6741.939430169493
2097,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10296.461051045837
2098,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3347.2765067823757
2098,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6781.098793326177
2098,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10391.107037702432
2099,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3344.792695255166
2099,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6820.2581564828615
2099,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10485.753024359024
2100,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3342.3088837279565
2100,median,0.5967868857319554,2658.5670654296923,20005,Wheat,6859.417519639544
2100,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,10580.399011015617
