Year,FIPS,Crop,observed_difference_kgHa,detrended_difference_kgHa
2015,20127,Corn,2115.272573907985,2385.173822210787
2016,20127,Corn,3552.6536404508042,3891.5993941333863
2017,20127,Corn,4688.749592609094,5052.802439157058
2018,20127,Corn,9666.230753170023,10224.863569424653
2019,20127,Corn,4155.223869219842,4368.63415857554
2020,20127,Corn,3941.8135798641397,4098.732910272742
2021,20127,Corn,5121.846944536842,5247.382408863727
1990,20131,Corn,433.0973519277486,2228.2544918021795
1991,20131,Corn,4613.428314012965,9798.042990713247
1992,20131,Corn,1230.2475504034564,3929.260033431454
1993,20131,Corn,728.1056930959244,1895.5855113359403
1994,20131,Corn,1757.496500576366,4312.143199628443
1995,20131,Corn,1079.6049932111964,2629.967977648206
1996,20131,Corn,-232.24060900473705,778.3198788266782
1997,20131,Corn,935.239209235282,2391.4505954271244
1998,20131,Corn,985.4533949660354,2504.432513321324
1999,20131,Corn,1864.2016452542184,3533.823320801768
2000,20131,Corn,2021.1209756628232,3847.661981618974
2001,20131,Corn,1977.1835631484155,3734.6800637247816
2002,20131,Corn,7155.5214666323545,10733.282199948531
2003,20131,Corn,7607.449138209133,11185.209871525312
2004,20131,Corn,2353.7899561290633,4029.6884048929587
2005,20131,Corn,4569.49090149856,6753.807980786327
2006,20131,Corn,4964.927614128239,7073.923414819879
2007,20131,Corn,2943.8066384654167,4318.419972844789
2008,20131,Corn,1581.7468505187353,2473.0486472396024
2009,20131,Corn,1437.3810665428118,2247.084811451212
2010,20131,Corn,-188.30319649032572,31.383866081721862
2011,20131,Corn,1933.2461506340042,2661.35184372993
2012,20131,Corn,7965.225211540752,9716.444938900775
2013,20131,Corn,2874.762133085629,3653.0820119123073
2014,20131,Corn,5115.570171320502,6144.96097880094
2015,20131,Corn,1964.6300167157224,2441.6647811578823
2016,20131,Corn,2968.9137313307892,3477.332361854669
2017,20131,Corn,8938.1250600741,9917.301681823792
2018,20131,Corn,8793.759276098184,9584.63270135755
2019,20131,Corn,2592.3073383501433,2843.378267003909
2020,20131,Corn,1832.817779172501,1989.737109581105
2021,20131,Corn,1977.1835631484173,2090.1654810426135
1990,20139,Corn,3182.324020686494,5868.782957281801
1991,20139,Corn,3464.778815421982,5831.122317983736
1992,20139,Corn,1443.6578397591602,3477.3323618546674
1993,20139,Corn,175.74965005763806,998.0069413987221
1994,20139,Corn,891.3017967208707,2209.424172153148
1995,20139,Corn,2165.4867596387403,3797.4477958882226
1996,20139,Corn,2924.9763188163824,5096.739851671464
1997,20139,Corn,2473.0486472396033,4374.910931791888
1998,20139,Corn,2749.226668758746,4588.321221147589
1999,20139,Corn,4713.856685474471,6791.4686200843935
2000,20139,Corn,4600.874767580277,6578.058330728691
2001,20139,Corn,3063.065329575955,4544.383808633178
2002,20139,Corn,4889.606335532109,6578.058330728689
2003,20139,Corn,5247.382408863727,7048.816321954503
2004,20139,Corn,2322.4060900473414,3671.9123315613397
2005,20139,Corn,4274.482560330381,5724.417173305884
2006,20139,Corn,4487.8928496860835,5831.122317983735
2007,20139,Corn,2755.503441975088,3766.0639298065025
2008,20139,Corn,5975.48810195965,7425.422714935153
2009,20139,Corn,2881.038906301973,3816.278115537256
2010,20139,Corn,3433.3949493402615,4205.438054950594
2011,20139,Corn,5780.908132252982,6760.084754002673
2012,20139,Corn,8216.296140194518,9339.838545920127
2013,20139,Corn,4249.375467465003,4996.311480209961
2014,20139,Corn,3897.8761673497283,4556.937355065867
2015,20139,Corn,2014.8442024464784,2435.3880079415358
2016,20139,Corn,2956.360184898106,3370.6272171768196
2017,20139,Corn,2611.1376579991756,2968.913731330793
2018,20139,Corn,6967.218270142026,7412.869168502463
2019,20139,Corn,4651.088953311029,4939.8205212628645
2020,20139,Corn,3998.3045388112387,4211.71482816694
2021,20139,Corn,5172.061130267595,5328.980460676203
1990,20149,Corn,1399.7204272447489,2404.0041418598157
1991,20149,Corn,3169.770474253807,4851.945696234045
1992,20149,Corn,1067.051446778507,1901.862284552284
1993,20149,Corn,-119.25869111053908,0
1994,20149,Corn,2667.6286169462737,3948.0903530804826
1995,20149,Corn,1562.9165308696975,2353.7899561290633
1996,20149,Corn,2083.8887078262633,3113.2795153067073
1997,20149,Corn,2887.3156795183195,4105.009683489092
1998,20149,Corn,1330.675921864964,1996.0138827974442
1999,20149,Corn,2353.7899561290633,3257.6452992826244
2000,20149,Corn,1732.3894077109917,2422.834461508848
2001,20149,Corn,2629.967977648207,3527.5465475854216
2002,20149,Corn,6728.70088792095,8548.96512066076
2003,20149,Corn,4192.884508517905,5354.087553541576
2004,20149,Corn,1631.961036249484,2203.147398936804
2005,20149,Corn,3037.9582367105804,3828.8316619699417
2006,20149,Corn,5140.677264185874,6264.21966991148
2007,20149,Corn,2165.486759638741,2686.4589365953034
2008,20149,Corn,2780.610534840469,3389.4575368258484
2009,20149,Corn,1249.077870052488,1569.1933040860422
2010,20149,Corn,2334.959636480031,2755.5034419750928
2011,20149,Corn,3803.724569104569,4374.9109317918865
2012,20149,Corn,5460.792698219427,6170.06807166632
2013,20149,Corn,2724.11957589337,3094.449195657673
2014,20149,Corn,3188.6007939028386,3558.930413667147
2015,20149,Corn,1349.5062415139946,1525.2558915716309
2016,20149,Corn,2165.4867596387394,2372.6202757780957
2017,20149,Corn,3778.6174762391893,4054.795497758336
2018,20149,Corn,5623.988801844378,5931.550689445242
2019,20149,Corn,1807.7106863071185,1901.8622845522823
2020,20149,Corn,2184.317079287768,2272.1919043165926
2021,20149,Corn,3025.404690277888,3094.449195657675
1990,20161,Corn,2912.4227723836966,3860.2155280516636
1991,20161,Corn,3489.8859082873582,4964.927614128239
1992,20161,Corn,985.4533949660345,533.5257233892571
1993,20161,Corn,1142.3727253746388,1349.5062415139964
1994,20161,Corn,175.74965005763625,-502.1418573075334
1995,20161,Corn,1964.630016715725,2316.1293168309985
1996,20161,Corn,3828.8316619699444,4889.606335532108
1997,20161,Corn,3709.5729708594044,4669.919272960064
1998,20161,Corn,1776.3268202253967,1864.2016452542175
1999,20161,Corn,1726.112634494646,1832.817779172501
2000,20161,Corn,4199.161281734248,5266.212728512759
2001,20161,Corn,4098.732910272742,5115.5701713205
2002,20161,Corn,7067.6466416035355,9120.15148334808
2003,20161,Corn,6383.47836102202,7984.055531189782
2004,20161,Corn,2799.4408544894995,3088.1724224413338
2005,20161,Corn,4054.795497758335,4751.51732477254
2006,20161,Corn,6195.175164531696,7463.083354233217
2007,20161,Corn,2347.5131829127204,2560.923472268423
2008,20161,Corn,3276.4756189316595,3640.5284654796196
2009,20161,Corn,2510.709286537667,2686.458936595305
2010,20161,Corn,1901.8622845522823,2027.397748879166
2011,20161,Corn,3514.993001152735,3904.152940566074
2012,20161,Corn,5862.506184065456,6578.05833072869
2013,20161,Corn,4067.3490441910226,4418.848344306296
2014,20161,Corn,5159.507583834909,5605.158482195343
2015,20161,Corn,1192.5869111053908,1161.2030450236707
2016,20161,Corn,2303.5757703983145,2385.173822210787
2017,20161,Corn,4651.08895331103,4902.159881964798
2018,20161,Corn,5021.418573075334,5259.935955296413
2019,20161,Corn,2849.655040220252,2918.6995456000404
2020,20161,Corn,2504.4325133213224,2542.093152619391
2021,20161,Corn,2906.145999167351,2937.529865249069
1990,20177,Corn,1500.1487987062565,4299.589653195756
1991,20177,Corn,2950.0834116817596,5693.033307224163
1992,20177,Corn,1738.6661809273355,4864.499242666732
1993,20177,Corn,1462.4881594081917,3364.3504439604767
1994,20177,Corn,916.4088895862487,2906.145999167351
1995,20177,Corn,1701.0055416292707,3728.4032905084377
1996,20177,Corn,2774.3337616241242,5429.408832137711
1997,20177,Corn,2950.0834116817596,5511.00688395018
1998,20177,Corn,1569.193304086043,3703.2961976430597
1999,20177,Corn,3590.3142797488636,5630.265575060722
2000,20177,Corn,2473.0486472396024,4356.080612142855
2001,20177,Corn,3684.4658779940273,5642.819121493409
2002,20177,Corn,5448.23915178674,7168.075013065045
2003,20177,Corn,5366.641099974264,7180.628559497732
2004,20177,Corn,1851.6480988215299,3609.1445993978978
2005,20177,Corn,3596.591052965209,5172.061130267595
2006,20177,Corn,3897.87616734973,5197.168223132975
2007,20177,Corn,2761.780215191432,3998.304538811235
2008,20177,Corn,3125.8330617393985,4343.527065710165
2009,20177,Corn,3728.403290508435,4877.052789099418
2010,20177,Corn,2805.717627705845,3533.823320801768
2011,20177,Corn,5661.649441142443,6546.674464646969
2012,20177,Corn,6515.290598565251,7343.824663122679
2013,20177,Corn,4236.821921032315,4895.88310874845
2014,20177,Corn,4820.561830152322,5416.855285705019
2015,20177,Corn,2265.9151311002443,2604.8608847828327
2016,20177,Corn,2134.1028935570184,2353.789956129065
2017,20177,Corn,3326.68980466241,3521.2697743690787
2018,20177,Corn,6082.193246637503,6314.433855642234
2019,20177,Corn,3489.8859082873605,3496.1626815037007
2020,20177,Corn,2385.173822210785,2228.2544918021795
2021,20177,Corn,3609.1445993978978,3370.6272171768196
1990,20197,Corn,1958.3532434993804,4418.848344306298
