FIPS,name,Date,Year,Month,Day,precip_mm_gridmet,tmmn_C_gridmet,tmmx_C_gridmet
20087,Jefferson,2021-06-06,2021,6,6,0,17.748101806640648,28.163140869140648
20087,Jefferson,2021-06-07,2021,6,7,0,18.460656738281273,29.704675292968773
20087,Jefferson,2021-06-08,2021,6,8,0,19.329675292968773,30.314904785156273
20087,Jefferson,2021-06-09,2021,6,9,0,20.485284423828148,32.29647216796877
20087,Jefferson,2021-06-10,2021,6,10,0,22.094689941406273,32.9545837402344
20087,Jefferson,2021-06-11,2021,6,11,25.781492233276367,19.765985107421898,31.490838623046898
20087,Jefferson,2021-06-12,2021,6,12,0.026739323511719704,15.548242187500023,29.426812744140648
20087,Jefferson,2021-06-13,2021,6,13,0,16.840844726562523,32.04653320312502
20087,Jefferson,2021-06-14,2021,6,14,0,19.100152587890648,33.14687500000002
20087,Jefferson,2021-06-15,2021,6,15,0.0076020690612494946,20.424462890625023,32.86782226562502
20087,Jefferson,2021-06-16,2021,6,16,0.01356947235763073,22.091912841796898,34.2734313964844
20087,Jefferson,2021-06-17,2021,6,17,0.03850351274013519,23.143731689453148,36.57280883789065
20087,Jefferson,2021-06-18,2021,6,18,0,24.100335693359398,36.30446777343752
20087,Jefferson,2021-06-19,2021,6,19,0.9451634287834167,22.498590087890648,33.0010925292969
20087,Jefferson,2021-06-20,2021,6,20,3.915165901184082,15.942864990234398,34.29973754882815
20087,Jefferson,2021-06-21,2021,6,21,0.022998686879873276,12.601434326171898,25.190393066406273
20087,Jefferson,2021-06-22,2021,6,22,0,15.160241699218773,29.926873779296898
20087,Jefferson,2021-06-23,2021,6,23,7.7160210609436035,19.180261230468773,30.637445068359398
20087,Jefferson,2021-06-24,2021,6,24,38.521724700927734,20.287377929687523,30.854089355468773
20087,Jefferson,2021-06-25,2021,6,25,24.497108459472656,19.210382080078148,30.388574218750023
20087,Jefferson,2021-06-26,2021,6,26,0.10757675021886826,16.733453369140648,26.962518310546898
20087,Jefferson,2021-06-27,2021,6,27,0.5986010432243347,17.785241699218773,25.319421386718773
20087,Jefferson,2021-06-28,2021,6,28,8.909758567810059,19.261499023437523,25.167443847656273
20087,Jefferson,2021-06-29,2021,6,29,10.914163589477539,19.753656005859398,25.827264404296898
20087,Jefferson,2021-06-30,2021,6,30,17.799531936645508,19.717523193359398,24.547601318359398
20087,Jefferson,2021-07-01,2021,7,1,0,18.283227539062523,28.145898437500023
20087,Jefferson,2021-07-02,2021,7,2,0,18.623406982421898,29.578942871093773
20087,Jefferson,2021-07-03,2021,7,3,0.010084697045385838,19.005120849609398,30.169091796875023
20087,Jefferson,2021-07-04,2021,7,4,0,19.331475830078148,29.791223144531273
20087,Jefferson,2021-07-05,2021,7,5,0,19.347039794921898,30.079370117187523
20087,Jefferson,2021-07-06,2021,7,6,0.31889721751213074,19.968316650390648,30.682824707031273
20087,Jefferson,2021-07-07,2021,7,7,0.6537267565727234,16.722131347656273,28.615686035156273
20087,Jefferson,2021-07-08,2021,7,8,0,18.631616210937523,28.882348632812523
20087,Jefferson,2021-07-09,2021,7,9,14.758248329162598,19.427514648437523,33.9620300292969
20087,Jefferson,2021-07-10,2021,7,10,8.250910758972168,17.765252685546898,27.924310302734398
20087,Jefferson,2021-07-11,2021,7,11,0.5956405401229858,17.166009521484398,24.721612548828148
20087,Jefferson,2021-07-12,2021,7,12,0,16.567681884765648,26.531610107421898
20087,Jefferson,2021-07-13,2021,7,13,0,19.182733154296898,30.584588623046898
20087,Jefferson,2021-07-14,2021,7,14,7.733546733856201,20.514978027343773,31.737939453125023
20087,Jefferson,2021-07-15,2021,7,15,30.746192932128906,19.723199462890648,24.148004150390648
20087,Jefferson,2021-07-16,2021,7,16,0,20.054956054687523,28.290704345703148
20087,Jefferson,2021-07-17,2021,7,17,5.238602161407471,19.142144775390648,29.012811279296898
20087,Jefferson,2021-07-18,2021,7,18,0,17.677331542968773,27.844720458984398
20087,Jefferson,2021-07-19,2021,7,19,0,18.258996582031273,28.713189697265648
20087,Jefferson,2021-07-20,2021,7,20,0,17.962243652343773,29.706811523437523
20087,Jefferson,2021-07-21,2021,7,21,0,19.006311035156273,30.307336425781273
20087,Jefferson,2021-07-22,2021,7,22,0,20.547082519531273,30.870416259765648
20087,Jefferson,2021-07-23,2021,7,23,0,22.273309326171898,32.88674316406252
20087,Jefferson,2021-07-24,2021,7,24,7.885694980621338,23.351190185546898,34.81902465820315
20087,Jefferson,2021-07-25,2021,7,25,1.6298613548278809,20.750299072265648,30.946557617187523
20087,Jefferson,2021-07-26,2021,7,26,0,20.495782470703148,32.20806274414065
20087,Jefferson,2021-07-27,2021,7,27,0,21.605279541015648,33.9861999511719
20087,Jefferson,2021-07-28,2021,7,28,0,22.781640625000023,35.30465087890627
20087,Jefferson,2021-07-29,2021,7,29,0,23.841302490234398,36.34060058593752
20087,Jefferson,2021-07-30,2021,7,30,0.005791360978037119,24.158807373046898,35.48784790039065
20087,Jefferson,2021-07-31,2021,7,31,1.6729800701141357,18.715112304687523,29.661126708984398
20087,Jefferson,2021-08-01,2021,8,1,0.005933836568146944,15.428948974609398,28.105920410156273
20087,Jefferson,2021-08-02,2021,8,2,0,14.407952880859398,27.987237548828148
20087,Jefferson,2021-08-03,2021,8,3,0,14.847436523437523,28.014184570312523
20087,Jefferson,2021-08-04,2021,8,4,0,17.503289794921898,28.670404052734398
20087,Jefferson,2021-08-05,2021,8,5,0.09008923918008804,19.552941894531273,29.463464355468773
20087,Jefferson,2021-08-06,2021,8,6,0,19.837823486328148,33.22084960937502
20087,Jefferson,2021-08-07,2021,8,7,9.143430709838867,19.376214599609398,34.51772460937502
20087,Jefferson,2021-08-08,2021,8,8,0.11159928143024445,19.712487792968773,31.545587158203148
20087,Jefferson,2021-08-09,2021,8,9,1.185042381286621,23.589929199218773,33.76998291015627
20087,Jefferson,2021-08-10,2021,8,10,4.171980857849121,23.592919921875023,32.81328735351565
20087,Jefferson,2021-08-11,2021,8,11,0,24.879022216796898,35.68999633789065
20087,Jefferson,2021-08-12,2021,8,12,52.00418472290039,19.391625976562523,35.64797363281252
20087,Jefferson,2021-08-13,2021,8,13,0.2119627147912979,17.427056884765648,26.361901855468773
20087,Jefferson,2021-08-14,2021,8,14,0,17.617791748046898,29.099572753906273
20087,Jefferson,2021-08-15,2021,8,15,0,18.157281494140648,29.080590820312523
20087,Jefferson,2021-08-16,2021,8,16,0,19.158074951171898,30.071862792968773
20087,Jefferson,2021-08-17,2021,8,17,0.09566734731197357,19.715447998046898,31.105706787109398
20087,Jefferson,2021-08-18,2021,8,18,0,20.530969238281273,30.662988281250023
20087,Jefferson,2021-08-19,2021,8,19,0.08869636058807373,21.818505859375023,30.863366699218773
20087,Jefferson,2021-08-20,2021,8,20,27.525503158569336,20.090295410156273,31.070306396484398
20087,Jefferson,2021-08-21,2021,8,21,0,17.066674804687523,27.654199218750023
20087,Jefferson,2021-08-22,2021,8,22,0,18.181817626953148,30.593133544921898
20087,Jefferson,2021-08-23,2021,8,23,0,24.156457519531273,34.3547302246094
20087,Jefferson,2021-08-24,2021,8,24,0.0031521180644631386,24.432397460937523,34.60952148437502
20087,Jefferson,2021-08-25,2021,8,25,0,23.715966796875023,32.87798461914065
20087,Jefferson,2021-08-26,2021,8,26,0,22.580987548828148,34.51824340820315
20087,Jefferson,2021-08-27,2021,8,27,0,22.421319580078148,33.3413024902344
20087,Jefferson,2021-08-28,2021,8,28,1.2687660455703735,22.021386718750023,32.1767517089844
20087,Jefferson,2021-08-29,2021,8,29,13.207359313964844,20.103326416015648,28.086511230468773
20087,Jefferson,2021-08-30,2021,8,30,1.552970290184021,19.560815429687523,32.09771118164065
20087,Jefferson,2021-08-31,2021,8,31,8.043417930603027,17.715966796875023,27.427514648437523
20087,Jefferson,2021-09-01,2021,9,1,0,18.842126464843773,27.816979980468773
20087,Jefferson,2021-09-02,2021,9,2,18.98910903930664,20.115197753906273,27.117700195312523
20087,Jefferson,2021-09-03,2021,9,3,18.8100643157959,19.975122070312523,29.417260742187523
20087,Jefferson,2021-09-04,2021,9,4,1.0156440734863281,14.158135986328148,24.673913574218773
20087,Jefferson,2021-09-05,2021,9,5,0,14.968041992187523,27.645349121093773
20087,Jefferson,2021-09-06,2021,9,6,0,18.200769042968773,30.823358154296898
20087,Jefferson,2021-09-07,2021,9,7,0,13.813623046875023,32.17681274414065
20087,Jefferson,2021-09-08,2021,9,8,0,14.169305419921898,28.984460449218773
20087,Jefferson,2021-09-09,2021,9,9,0,15.155023193359398,29.109338378906273
20087,Jefferson,2021-09-10,2021,9,10,0,17.000482177734398,30.661798095703148
20087,Jefferson,2021-09-11,2021,9,11,0,19.026116943359398,30.926477050781273
20087,Jefferson,2021-09-12,2021,9,12,0,19.310906982421898,30.811822509765648
20087,Jefferson,2021-09-13,2021,9,13,0,19.647027587890648,31.116418457031273
20087,Jefferson,2021-09-14,2021,9,14,0.33842724561691284,16.138726806640648,26.047631835937523
20087,Jefferson,2021-09-15,2021,9,15,0,16.084741210937523,28.085473632812523
20087,Jefferson,2021-09-16,2021,9,16,0,18.443536376953148,30.804040527343773
20087,Jefferson,2021-09-17,2021,9,17,2.9186782836914062,17.063043212890648,31.378106689453148
20087,Jefferson,2021-09-18,2021,9,18,0,17.405908203125023,31.073022460937523
20087,Jefferson,2021-09-19,2021,9,19,0,19.582391357421898,30.536065673828148
20087,Jefferson,2021-09-20,2021,9,20,3.584214687347412,13.985375976562523,29.566613769531273
20087,Jefferson,2021-09-21,2021,9,21,0,8.495874023437523,23.691461181640648
20087,Jefferson,2021-09-22,2021,9,22,0,7.951043701171898,22.560876464843773
20087,Jefferson,2021-09-23,2021,9,23,0,9.244134521484398,25.588342285156273
20087,Jefferson,2021-09-24,2021,9,24,0.052817534655332565,8.759088134765648,24.841943359375023
20087,Jefferson,2021-09-25,2021,9,25,0,9.094689941406273,25.048242187500023
20087,Jefferson,2021-09-26,2021,9,26,0,16.392480468750023,33.36065063476565
20087,Jefferson,2021-09-27,2021,9,27,0,16.763970947265648,33.3173767089844
20087,Jefferson,2021-09-28,2021,9,28,0,16.898065185546898,31.725976562500023
20087,Jefferson,2021-09-29,2021,9,29,0.31834208965301514,17.586114501953148,26.294824218750023
20087,Jefferson,2021-09-30,2021,9,30,8.779313087463379,17.578027343750023,27.409570312500023
20087,Jefferson,2021-10-01,2021,10,1,0.00931594893336296,15.015466308593773,23.963128662109398
20087,Jefferson,2021-10-02,2021,10,2,2.657569169998169,15.031854248046898,23.617700195312523
20087,Jefferson,2021-10-03,2021,10,3,0,10.706567382812523,26.452874755859398
20087,Jefferson,2021-10-04,2021,10,4,0,9.954705810546898,27.640649414062523
20087,Jefferson,2021-10-05,2021,10,5,0,10.601403808593773,25.352532958984398
20087,Jefferson,2021-10-06,2021,10,6,0.05572456121444702,14.565301513671898,24.172113037109398
