Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
2021,Corn,12129838.363711355,0,9288.1425169533,0
2021,Golf Course/Turf/Sod,926788.9134596896,0,377.9763898148,0
2021,Multi-Crop,5764060.6268594675,0,5508.5809616264,0
2021,Other Crop,611745.3173316827,0,292.5877193106,0
2021,Sorghum,2935.6867733630497,0,2.4281138531999997,0
2021,Soybeans,7424475.198018908,0,7284.948588063299,0
2021,Unknown,134692627.22803974,0,0,161
2021,Wheat,16948.040447902647,0,47.3482201374,0
2022,Alfalfa,9904.859155506423,0,29.5420518806,0
2022,Corn,11923193.151467023,0,9225.0115567701,0
2022,Golf Course/Turf/Sod,1150579.5232459325,0,307.1564024298,0
2022,Multi-Crop,7025752.194031678,0,5512.4254752273,0
2022,Other Crop,573729.4070984686,0,372.1084480029,0
2022,Sorghum,3392.075053255625,0,4.4515420642,0
2022,Soybeans,8339903.743754785,0,6668.6123549927,0
2022,Unknown,135491639.75794786,0,0,163
2022,Wheat,12741.867381865675,0,21.0436533944,0
2023,Alfalfa,30565.67993442705,0,29.5420518806,0
2023,Corn,13159055.60896099,0,9592.263777066599,0
2023,Golf Course/Turf/Sod,1178123.1726783682,0,280.04246440239996,0
2023,Multi-Crop,7628752.125135149,0,5485.9185656632,0
2023,Other Crop,634984.1151510775,0,290.96897674179996,0
2023,Sorghum,14740.107958692623,0,4.8562277063999995,0
2023,Soybeans,10664881.324529693,0,6992.5632115738,0
2023,Unknown,121323188.95686664,0,0,159
