Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
2014,REC,61822.109697880696,57985.98118310797,3836.1285147727244
2015,HYD,9761355.878526147,5809452.758481215,3951903.120044933
2015,IND,44918153.89085199,8293598.835573251,36624555.05527874
2015,IRR,10742775.702570817,10200056.028868292,542719.6737025245
2015,MUN,97229538.88477781,34924163.33776439,62305375.54701343
2015,REC,46502.26527554075,42925.167946653,3577.09732888775
2016,HYD,10254464.912722513,6088589.698318214,4165875.214404298
2016,IND,43399873.43183315,9038942.570729705,34360930.861103445
2016,IRR,19618466.95210111,18611884.098570473,1006582.8535306373
2016,MUN,111401492.77427769,36396249.90196708,75005242.87231061
2016,REC,91462.67825414712,91462.67825414712,0
2017,HYD,5278845.876423407,1186498.5143553158,4092347.3620680915
2017,IND,48682222.39667519,8903160.890052475,39779061.50662272
2017,IRR,25321149.52272421,24159937.38603862,1161212.136685592
2017,MUN,108563510.09726678,37422667.14344548,71140842.9538213
2017,REC,72985.12032768557,72985.12032768557,0
2018,HYD,4980145.914642905,862512.1749050893,4117633.739737815
2018,IND,42302987.37297566,7615862.239932777,34687125.13304289
2018,IRR,37731333.63847337,35738113.332725234,1993220.3057481316
2018,MUN,102856263.64384475,35892495.919512674,66963767.72433207
2018,REC,64301.408191351176,64301.408191351176,0
2019,HYD,11864763.1168224,621637.8416688136,11243125.275153585
2019,IND,37822487.94626813,7292838.016315838,30529649.92995229
2019,IRR,12867065.788376747,12590062.772118704,277003.0162580421
2019,MUN,91418149.55981165,36586711.83250279,54831437.72730887
2019,REC,59170.12374715357,38459.96369473105,20710.16005242252
2020,HYD,10210997.012767337,404619.0471707064,9806377.965596631
2020,IND,33591904.27466608,7594621.68269021,25997282.59197587
2020,IRR,17771932.306474127,16675046.247616636,1096886.0588574898
2020,MUN,106974341.43704408,35030489.47216098,71943851.9648831
2020,REC,83112.00621395055,83112.00621395055,0
2021,HYD,6098704.249386104,992077.1071210786,5106627.1422650255
2021,IND,44272870.2023574,7420084.002677239,36852786.19968016
2021,IRR,26778495.97896821,25520751.55367615,1257744.4252920593
2021,MUN,94795089.79092057,35799047.33550008,58996042.455420494
2021,REC,58306.68646087032,58306.68646087032,0
2022,HYD,5656932.729268466,822757.0552809334,4834175.673987533
2022,IND,41403396.7340339,6918180.2429791605,34485216.491054736
2022,IRR,28818946.304276034,27502377.130151335,1316569.1741246996
2022,MUN,98039714.42531577,36090691.78116981,61949022.64414596
2022,REC,38805.338609244354,38805.338609244354,0
2023,HYD,6886701.786484949,NA,6886701.786484949
2023,IND,37650836.61375502,7006682.564823194,30644154.048931822
2023,IRR,32854985.22046008,31531249.51685923,1323735.7036008507
2023,MUN,88466082.14764598,37277214.965161875,51188867.1824841
2023,REC,35388.59391923777,35388.59391923777,0
