FIPS,County,Crop,Domain,period,n_years,years_active,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,basin_area_share,crop_area_share,crop_domain_county_share
20045,Douglas,Unknown,Alluvial,recent_2019_2023,5,0,0,0,NA,0,NA,NA
20061,Geary,Corn,Alluvial,recent_2019_2023,5,5,127.6379644,202599.39181717686,0.1587297265116654,0.005542473552876673,0.013251321350844909,0.014179040734396986
20061,Geary,Corn,Non-alluvial,recent_2019_2023,5,5,221.9298024,317463.68749327515,0.14304689323387385,0.009636945137595332,0.023040661473694823,0.3521479483721826
20061,Geary,Golf Course/Turf/Sod,Non-alluvial,recent_2019_2023,5,5,33.993624,140500.98218768553,0.41331569175350513,0.0014761185112290441,0.08070714834742505,0.4170804369414101
20061,Geary,Multi-Crop,Alluvial,recent_2019_2023,5,5,123.6720416,281085.8411403243,0.2272832545689326,0.005370259726566618,0.020871750741029108,0.02474554037749905
20061,Geary,Multi-Crop,Non-alluvial,recent_2019_2023,5,5,661.3378612,841202.5426796187,0.1271970942587883,0.02871753417917267,0.11161196027810788,0.7129706382793072
20061,Geary,Other Crop,Alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20061,Geary,Other Crop,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20061,Geary,Sorghum,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,NA
20061,Geary,Soybeans,Alluvial,recent_2019_2023,5,3,59.0032188,79251.20806242689,0.1343167536860326,0.0025621199873475556,0.008907570212791956,0.00956893835976058
20061,Geary,Soybeans,Non-alluvial,recent_2019_2023,5,5,140.1022932,175753.8931047931,0.1254468353732793,0.006083717006993989,0.021150897171938098,0.3060196234420578
20061,Geary,Unknown,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,NA,NA
20085,Jackson,Corn,Non-alluvial,recent_2019_2023,5,3,21.7721068,15633.148809077014,0.07180356477526104,9.45418760763364e-4,0.002260371238666633,0.034546972323893914
20085,Jackson,Multi-Crop,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20085,Jackson,Soybeans,Non-alluvial,recent_2019_2023,5,2,17.3205608,16200.550454348864,0.09353363693829628,7.521175271500368e-4,0.002614842284687899,0.037832581985326616
20087,Jefferson,Alfalfa,Alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20087,Jefferson,Corn,Alluvial,recent_2019_2023,5,5,1097.0632774,1079407.6212194418,0.09839064377194344,0.04763821038203353,0.11389666154091777,0.1218705184745618
20087,Jefferson,Golf Course/Turf/Sod,Alluvial,recent_2019_2023,5,5,68.7156828,126047.04201530392,0.18343271416245596,0.0029838681334129966,0.1631437355880092,0.20228734810578983
20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,recent_2019_2023,5,3,0.9712464,1198.94434609617,0.12344389087014065,4.217481460654412e-5,0.0023059185242121443,0.011916583912611719
20087,Jefferson,Multi-Crop,Alluvial,recent_2019_2023,5,5,919.7703408,945246.7356767503,0.10276986479631334,0.03993954943239728,0.15522681637503585,0.1840368591949602
20087,Jefferson,Other Crop,Alluvial,recent_2019_2023,5,3,22.379135799999997,20453.595830212646,0.0913958251694985,9.71778019892454e-4,0.05871111582970591,0.072315940891853
20087,Jefferson,Other Crop,Non-alluvial,recent_2019_2023,5,2,0.6474976,325.63920511253997,0.05029195553968693,2.8116543071029417e-5,0.0016986941288884172,0.009029345372460498
20087,Jefferson,Soybeans,Alluvial,recent_2019_2023,5,5,539.3250322,421510.3474540819,0.07815516104169472,0.023419323094225564,0.08142056805615802,0.08746587209912843
20087,Jefferson,Unknown,Alluvial,recent_2019_2023,5,0,0,0,NA,0,NA,NA
20087,Jefferson,Wheat,Alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20091,Johnson,Corn,Alluvial,recent_2019_2023,5,4,42.734841599999996,35696.964378624645,0.08353128979100895,0.0018556918426879412,0.004436713806750863,0.004747326257299688
20091,Johnson,Golf Course/Turf/Sod,Alluvial,recent_2019_2023,5,1,1.214058,44.40534615170999,0.0036575967665226864,5.271851825818016e-5,0.002882398155265181,0.0035739814152966403
20091,Johnson,Soybeans,Alluvial,recent_2019_2023,5,1,10.683710399999999,4139.56504680941,0.03874651120091584,4.639229606719853e-4,0.0016128933718635638,0.0017326472750183765
20103,Leavenworth,Corn,Alluvial,recent_2019_2023,5,5,58.0319724,74255.6066203595,0.12795637223655612,0.002519945172741011,0.006024855680758274,0.006446653269855827
20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,recent_2019_2023,5,5,14.8924448,7926.354288080235,0.053223996425894,6.466804906336765e-4,0.035357417371252885,0.04384083869430545
20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,recent_2019_2023,5,4,0.5665604,727.754284153025,0.12845131501478482,2.4601975187150738e-5,0.0013451191391237508,0.006951340615690169
20103,Leavenworth,Multi-Crop,Alluvial,recent_2019_2023,5,3,49.1288804,45638.827989257494,0.09289612874886011,0.002133342705514357,0.008291330300919286,0.009830198304412252
20103,Leavenworth,Other Crop,Alluvial,recent_2019_2023,5,1,3.237488,3187.31706822274,0.09845031296556898,1.4058271535514707e-4,0.008493470644442086,0.010461618935530272
20103,Leavenworth,Other Crop,Non-alluvial,recent_2019_2023,5,5,1.1331208000000002,527.93022647033,0.04659081595451517,4.920395037430148e-5,0.0029727147255547304,0.01580135440180587
