Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2008,20177,Shawnee,Soybeans,Alluvial,1736.10294,1506204.6718292523,49
2008,20177,Shawnee,Soybeans,Non-alluvial,16.592126,30960.39412244225,1
2008,20197,Wabaunsee,Alfalfa,Alluvial,26.709276,10842.305352042524,1
2008,20197,Wabaunsee,Corn,Alluvial,1281.842905,809472.4558905469,27
2008,20197,Wabaunsee,Multi-Crop,Alluvial,174.824352,80682.04699398197,4
2008,20197,Wabaunsee,Multi-Crop,Non-alluvial,112.907394,69185.99626803928,2
2008,20197,Wabaunsee,Other Crop,Alluvial,14.568696,14851.1213240719,1
2008,20197,Wabaunsee,Other Crop,Non-alluvial,16.18744,678.415010651125,1
2008,20197,Wabaunsee,Soybeans,Alluvial,431.799962,315857.6941407883,11
2008,20197,Wabaunsee,Soybeans,Non-alluvial,20.2343,26914.57369528645,1
2008,20209,Wyandotte,Corn,Alluvial,61.512271999999996,184652.2310808607,2
2008,20209,Wyandotte,Multi-Crop,Alluvial,16.18744,4773.574711308825,1
2008,20209,Wyandotte,Soybeans,Alluvial,93.887152,206706.88633621004,3
2009,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,1.214058,3749.7847861444,2
2009,20045,Douglas,Corn,Alluvial,377.167352,144995.79000370862,12
2009,20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,0.809372,888.1069230341999,1
2009,20045,Douglas,Multi-Crop,Alluvial,265.474016,224604.70779902427,6
2009,20045,Douglas,Other Crop,Alluvial,21.043672,15640.549700102298,3
2009,20045,Douglas,Soybeans,Alluvial,139.211984,42209.74848087545,3
2009,20061,Geary,Corn,Alluvial,107.646476,177177.33114532288,2
2009,20061,Geary,Corn,Non-alluvial,191.01179199999999,257464.66395128967,5
2009,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,44.51546,82593.94384218058,1
2009,20061,Geary,Multi-Crop,Alluvial,53.418552,50572.755339447496,1
2009,20061,Geary,Multi-Crop,Non-alluvial,590.436874,928959.841493773,8
2009,20061,Geary,Other Crop,Alluvial,32.37488,194890.13033250495,1
2009,20061,Geary,Other Crop,Non-alluvial,0.404686,3367.4054165046746,1
2009,20061,Geary,Soybeans,Alluvial,31.160822,19735.70940076,1
2009,20061,Geary,Soybeans,Non-alluvial,43.706088,9843.18506362905,3
2009,20085,Jackson,Multi-Crop,Non-alluvial,36.42174,56690.8252536831,1
2009,20087,Jefferson,Corn,Alluvial,652.353832,280913.15368306765,16
2009,20087,Jefferson,Golf Course/Turf/Sod,Alluvial,1.214058,7080.18574752265,1
2009,20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,1.618744,579.736463647325,1
2009,20087,Jefferson,Multi-Crop,Alluvial,524.877742,107954.33042215719,13
2009,20087,Jefferson,Other Crop,Alluvial,36.017054,11101.3365379275,1
2009,20087,Jefferson,Soybeans,Alluvial,157.82754,59860.873576180165,5
2009,20091,Johnson,Corn,Alluvial,106.837104,155418.711530985,2
2009,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,33.184252,3786.7892412708243,2
2009,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,6.07029,2528.6377669723747,1
2009,20103,Leavenworth,Other Crop,Alluvial,12.14058,1640.530843938175,1
2009,20103,Leavenworth,Other Crop,Non-alluvial,1.214058,296.0356410114,2
2009,20103,Leavenworth,Soybeans,Alluvial,56.65604,2874.012681485675,1
2009,20149,Pottawatomie,Corn,Alluvial,1520.405302,666092.5270940254,30
2009,20149,Pottawatomie,Corn,Non-alluvial,331.033148,44306.6676047062,6
2009,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,13.354638,21252.892060943424,2
2009,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,31.160822,65374.537390017496,1
2009,20149,Pottawatomie,Multi-Crop,Alluvial,1621.172116,495884.3683308459,28
2009,20149,Pottawatomie,Other Crop,Alluvial,11.735893999999998,13666.978760026299,2
2009,20149,Pottawatomie,Other Crop,Non-alluvial,28.32802,18761.258749097477,5
2009,20149,Pottawatomie,Soybeans,Alluvial,1458.89303,475889.627744201,35
2009,20149,Pottawatomie,Soybeans,Non-alluvial,102.385558,9436.136057238376,1
2009,20161,Riley,Corn,Alluvial,353.695564,254960.69582106825,8
2009,20161,Riley,Corn,Non-alluvial,79.723142,35203.571643605654,3
2009,20161,Riley,Golf Course/Turf/Sod,Alluvial,26.709276,53940.160755952165,1
2009,20161,Riley,Multi-Crop,Alluvial,600.554024,368441.02487543825,19
2009,20161,Riley,Multi-Crop,Non-alluvial,4.451546,16997.37972140455,2
2009,20161,Riley,Other Crop,Alluvial,152.566622,45996.53772214628,4
2009,20161,Riley,Other Crop,Non-alluvial,10.926522,19217.64702899005,1
2009,20161,Riley,Sorghum,Alluvial,2.02343,727.754284153025,1
2009,20161,Riley,Soybeans,Alluvial,238.76474,110704.99491988812,7
2009,20177,Shawnee,Corn,Alluvial,2110.842176,712212.4129999265,57
2009,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,36.42174,46625.6134592955,3
2009,20177,Shawnee,Multi-Crop,Alluvial,782.2580379999999,192423.16665741,22
2009,20177,Shawnee,Multi-Crop,Non-alluvial,34.802996,8634.3728628325,2
2009,20177,Shawnee,Other Crop,Alluvial,5.665604,2010.575395202425,2
2009,20177,Shawnee,Soybeans,Alluvial,448.392088,177016.97850644172,11
2009,20197,Wabaunsee,Alfalfa,Non-alluvial,26.30459,4329.521249791725,1
2009,20197,Wabaunsee,Corn,Alluvial,697.678664,404495.69898695167,17
2009,20197,Wabaunsee,Corn,Non-alluvial,36.42174,14049.358129666023,1
2009,20197,Wabaunsee,Multi-Crop,Alluvial,97.12464,11952.439005835276,2
2009,20197,Wabaunsee,Multi-Crop,Non-alluvial,93.07777999999999,17083.723450032874,2
2009,20197,Wabaunsee,Other Crop,Alluvial,0.404686,185.02227563212497,1
2009,20197,Wabaunsee,Soybeans,Alluvial,476.92245099999997,145982.57547374663,13
2009,20209,Wyandotte,Corn,Alluvial,61.512271999999996,152951.74785588996,2
2009,20209,Wyandotte,Multi-Crop,Alluvial,16.18744,4366.52570491815,1
2009,20209,Wyandotte,Soybeans,Alluvial,93.887152,37312.82558581187,3
2010,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,1.214058,1578.8567520607999,2
2010,20045,Douglas,Corn,Alluvial,182.1087,251321.9244003031,5
2010,20045,Douglas,Golf Course/Turf/Sod,Alluvial,7.284348,3441.414326757525,1
2010,20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,0.809372,456.388279892575,1
2010,20045,Douglas,Multi-Crop,Alluvial,278.019282,578799.0174507889,6
2010,20045,Douglas,Other Crop,Alluvial,64.74976,94990.43630953296,4
2010,20045,Douglas,Soybeans,Alluvial,535.804264,436467.54821618285,13
2010,20061,Geary,Corn,Alluvial,146.091646,139519.13064499773,3
2010,20061,Geary,Corn,Non-alluvial,121.001114,161142.06725720537,3
2010,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,44.51546,106350.80403334544,1
2010,20061,Geary,Multi-Crop,Non-alluvial,635.35702,1002376.6804646004,9
2010,20061,Geary,Other Crop,Alluvial,6.474976,109779.8835417275,1
2010,20061,Geary,Other Crop,Non-alluvial,0.809372,4181.503429286025,1
2010,20061,Geary,Soybeans,Alluvial,57.870098,66731.36741131975,2
2010,20061,Geary,Soybeans,Non-alluvial,187.774304,183406.41442493777,5
2010,20085,Jackson,Multi-Crop,Non-alluvial,36.42174,69580.71045605447,1
2010,20087,Jefferson,Corn,Alluvial,616.741464,699162.1751586739,18
2010,20087,Jefferson,Golf Course/Turf/Sod,Alluvial,1.214058,6562.1233757527,1
2010,20087,Jefferson,Golf Course/Turf/Sod,Non-alluvial,1.618744,1134.8032905437,1
2010,20087,Jefferson,Multi-Crop,Alluvial,724.7926259999999,608661.6127378138,17
2010,20087,Jefferson,Other Crop,Alluvial,27.923333999999997,17441.43318292165,2
2010,20087,Jefferson,Soybeans,Alluvial,537.827694,470573.3210243712,16
2010,20091,Johnson,Soybeans,Alluvial,53.418552000000005,124334.96922478799,2
2010,20103,Leavenworth,Corn,Alluvial,64.74976,14530.416046309549,1
2010,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,15.782754,18415.883834584172,1
2010,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,6.07029,3219.3875959989746,1
2010,20103,Leavenworth,Other Crop,Alluvial,44.51546,23867.873556544127,2
2010,20103,Leavenworth,Other Crop,Non-alluvial,1.214058,2084.584305455275,2
2010,20103,Leavenworth,Soybeans,Alluvial,17.806184,10225.564433268772,1
2010,20149,Pottawatomie,Corn,Alluvial,2256.12445,1480597.5888817662,50
2010,20149,Pottawatomie,Corn,Non-alluvial,334.270636,222039.06557692547,5
2010,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,16.18744,29418.541825507877,2
2010,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,31.160822,35770.973288877496,1
2010,20149,Pottawatomie,Multi-Crop,Alluvial,1953.824008,1259656.3221402578,34
2010,20149,Pottawatomie,Other Crop,Alluvial,12.545266,5365.6459933316255,3
2010,20149,Pottawatomie,Other Crop,Non-alluvial,28.32802,21129.543877188677,5
2010,20149,Pottawatomie,Soybeans,Alluvial,1842.940044,1746832.3086980185,49
2010,20149,Pottawatomie,Soybeans,Non-alluvial,92.67309399999999,93892.6374741157,2
2010,20161,Riley,Alfalfa,Alluvial,52.60918,12334.818375475,1
2010,20161,Riley,Corn,Alluvial,412.77972,427771.50126147293,10
2010,20161,Riley,Corn,Non-alluvial,19.020242,30923.389667315823,2
2010,20161,Riley,Golf Course/Turf/Sod,Alluvial,26.709276,84764.8718762642,1
2010,20161,Riley,Multi-Crop,Alluvial,268.306818,270440.89288228936,9
2010,20161,Riley,Multi-Crop,Non-alluvial,48.56232,21117.2090588132,1
2010,20161,Riley,Other Crop,Alluvial,152.566622,62537.52916365825,4
2010,20161,Riley,Other Crop,Non-alluvial,16.996812,41124.28446383365,3
2010,20161,Riley,Sorghum,Alluvial,50.585750000000004,42703.141215894444,2
2010,20161,Riley,Soybeans,Alluvial,436.65619399999997,545815.7131147687,13
2010,20177,Shawnee,Alfalfa,Alluvial,14.16401,40877.58809632415,1
2010,20177,Shawnee,Corn,Alluvial,3159.383602,2729349.931578104,84
2010,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,36.017054,80200.98907733844,3
2010,20177,Shawnee,Multi-Crop,Alluvial,960.724564,950397.7558303487,29
2010,20177,Shawnee,Multi-Crop,Non-alluvial,34.802996,35746.303652126546,2
2010,20177,Shawnee,Other Crop,Alluvial,45.729518,36597.40612003432,3
2010,20177,Shawnee,Soybeans,Alluvial,1682.279702,1894628.1024729598,54
2010,20177,Shawnee,Soybeans,Non-alluvial,16.592126,21684.610704085047,1
2010,20197,Wabaunsee,Alfalfa,Alluvial,26.709276,11261.689176808675,1
