Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
1998,Other Crop,575752.3173120465,420.46838224579994,510266.76655664976,275.59092233819996,0.8862608993722818,0.6554379210779596,0.1369311799942831,0.18515369164825396
1998,Sorghum,34512.821814579045,52.2044478438,6808.8197432622,36.82639344019999,0.1972837741243746,0.7054263565891472,0.0661108837274637,0.018488967034794225
1998,Soybeans,4438042.981859154,3433.3529884247996,4031869.7475731377,3029.8814031514,0.9084792022190229,0.8824846770391326,0.1292626478204124,0.1330702166553306
1998,Unknown,156363928.66309765,140.8306034856,125389041.1290642,64.74970275199999,0.8019051593365113,0.4597701149425287,111.02979380407608,193.65191776913784
1999,Alfalfa,16824.692264147896,31.1607944494,4563.88279892575,21.0436533944,0.2712609970674487,0.6753246753246753,0.05399314286247877,0.021687692309835613
1999,Corn,10191976.722832356,6597.590024786599,8597257.394340696,5676.5255031394,0.8435318906371593,0.8603937925535179,0.15448029787455636,0.15145281016681747
1999,Golf Course/Turf/Sod,1478661.0223968164,565.3458421534,159267.17486413318,45.7294775686,0.10771040316324232,0.08088761632068718,0.26154981820766604,0.3482812035742422
1999,Multi-Crop,11322832.871495904,7164.149923866599,9437418.878349423,5799.5499383682,0.8334856643611847,0.8095238095238096,0.1580485192496474,0.16272674567235124
1999,Other Crop,809003.7327922788,511.5226517408,738127.8664067994,409.5418699064,0.9123911750804276,0.8006329113924051,0.158155993686516,0.18023257709291046
1999,Sorghum,180828.4373844635,89.03084128399999,47575.39447420707,45.3247919264,0.2630968622100955,0.5090909090909091,0.20310763638370868,0.10496550001037329
1999,Soybeans,8102877.873851657,5053.511956972499,6673432.776772986,4149.0395466555,0.8235879746266999,0.8210210210210211,0.16034151977560568,0.16084283366622462
1999,Unknown,177440568.5042739,452.4385479796,142627295.18370503,302.7048603656,0.8038031910401012,0.6690518783542039,39.21871142426938,47.11760987631419
2000,Alfalfa,72109.34822302684,61.10753197219999,72109.34822302684,61.10753197219999,1,1,0.11800402650172809,0.11800402650172809
2000,Corn,10986425.369941574,6795.2789610013,8990947.79243073,5620.881227336899,0.8183688041999183,0.8271744632701069,0.1616773267586751,0.1599561959911849
2000,Golf Course/Turf/Sod,1540964.190011341,578.700468346,159217.8355906313,43.7060493576,0.10332351434426229,0.07552447552447553,0.2662801007256161,0.36429244448044595
2000,Multi-Crop,13222382.56650068,7546.5778557456,10537894.369354175,6263.7243699716,0.7969739429603452,0.83000858000858,0.1752103114716268,0.1682368786831205
2000,Other Crop,989967.8531788724,490.8836839886,899676.9826703955,437.8698648604,0.9087941389020411,0.8920032976092334,0.20167055566708605,0.20546675048241264
2000,Sorghum,64597.44383236257,49.776333990599994,42690.80639751897,30.351423164999996,0.6608745464960856,0.6097560975609756,0.12977541464697154,0.14065504001390036
2000,Soybeans,7938405.405633073,4661.978598144,6616544.5944252955,4039.572080440399,0.833485348295542,0.8664930555555553,0.1702797479334947,0.16379320538585246
2000,Unknown,176454794.4893427,494.1211691262,146531622.90927577,277.209664907,0.8304201840099381,0.5610155610155609,35.71083481433996,52.85949281690272
2000,Wheat,629.075737149225,16.592111330199998,629.075737149225,16.592111330199998,1,1,0.003791414634521032,0.003791414634521032
2001,Alfalfa,316560.7787881904,199.1053359624,309406.5841304149,193.0350513294,0.9774002493765586,0.9695121951219512,0.15899160977181004,0.16028518240577744
2001,Corn,11802891.667851016,7012.3928080416,10626680.392020846,6296.9085926319995,0.9003454993123455,0.8979686057248384,0.16831475347923774,0.16876027713750053
2001,Golf Course/Turf/Sod,3472424.060153469,541.8740749058,78733.14569065692,45.3247919264,0.022673827944613766,0.08364451082897686,0.640817529562956,0.17370878573145263
2001,Multi-Crop,12042347.496974112,7087.2596518486,9234622.12943824,5508.1762759841995,0.7668456778679265,0.7771940843944498,0.1699154269567795,0.16765298833484046
2001,Other Crop,1215769.038360318,565.7505277956,848869.865781814,372.310790824,0.698216387321943,0.6580829756795422,0.21489490130879085,0.22800033915296714
2001,Sorghum,111112.0439262788,112.5026085316,111112.0439262788,112.5026085316,1,1,0.09876397123278202,0.09876397123278202
2001,Soybeans,7656024.408563324,4850.3597645881,6352086.088455112,4140.5411481693,0.8296846704603309,0.8536565016061074,0.1578444647438124,0.1534119783174628
2001,Unknown,155450029.6348403,692.8218194464,119077968.31170756,379.9998180258,0.7660208788086275,0.5484813084112149,22.437230651750088,31.336322456770965
2002,Alfalfa,430497.49612245295,198.295964678,420136.248687054,192.225680045,0.9759319217214407,0.9693877551020408,0.21709846532757743,0.21856405896896822
2002,Corn,19218794.16709897,7460.379813957,16653966.043012949,6318.3569316686,0.866545835197257,0.8469216164903716,0.25761147081471825,0.26358064641047185
2002,Golf Course/Turf/Sod,2830988.834992018,726.8154133912,293038.2801461595,61.916903256599994,0.10351092753320086,0.08518930957683742,0.38950588867991864,0.47327670592912496
2002,Multi-Crop,16563329.79758996,7195.310718316,13873932.34273002,5827.0685620378,0.8376294206705188,0.8098425196850394,0.23019617145132076,0.23809454436688707
2002,Other Crop,848462.8167754234,390.1169590808,577059.8080598469,283.6846351822,0.6801238624138632,0.7271784232365146,0.21748934441983384,0.20341595437103
2002,Sorghum,213083.98743633064,149.32900197179998,106313.799578219,95.5058115592,0.498929088277858,0.6395663956639567,0.14269430895719137,0.11131657628218738
2002,Soybeans,10041676.960927194,5117.452288440099,8757647.037676997,4459.635777044,0.8721299312608403,0.8714562492586296,0.19622414426042642,0.1963758359540713
2002,Unknown,153086061.69318053,762.0230642626,125499696.7847106,388.498216512,0.8197983238751069,0.5098247477429634,20.089426274954022,32.303802553192455
2003,Alfalfa,141258.34003593968,131.522833715,131760.52988682393,124.23849215539998,0.9327628361858191,0.9446153846153845,0.10740214154907565,0.10605451466846139
2003,Corn,16760908.91832832,7889.5489375101,14220824.439903503,6583.0213416674,0.8484518655401083,0.8343976815162473,0.2124444508942735,0.21602276070248225
2003,Golf Course/Turf/Sod,2239484.95461449,842.9601927025999,302585.4295687772,64.74970275199999,0.13511384791636832,0.07681228996639462,0.26566912340599574,0.46731555004618297
2003,Multi-Crop,14115201.39015431,6744.086227262999,11828437.076706624,5530.029300663,0.837992795834797,0.8199819981998201,0.20929746320700265,0.21389465468634142
2003,Other Crop,1654148.4834246994,652.7579408685999,1458567.6032631677,541.4693892636,0.8817634075046232,0.8295102293862369,0.25340917051481404,0.26937212558715906
2003,Sorghum,495156.6140466929,131.522833715,274462.0436726942,58.679418119,0.5542934010910993,0.4461538461538462,0.3764795815756675,0.4677313655634653
2003,Soybeans,13805807.14084227,5771.8289718774995,12200220.837361816,5004.9496799085,0.8837021054183364,0.8671340929009641,0.23919293534353328,0.2437631068767281
2003,Unknown,162964006.2749917,541.8740749058,135323750.5450393,223.3864744944,0.8303904257035067,0.4122479462285288,30.074147079895184,60.578309788595405
2003,Wheat,36548.06684653242,50.1810196328,36548.06684653242,50.1810196328,1,1,0.07283245162010095,0.07283245162010095
2004,Alfalfa,93423.91437584764,295.42051880599996,93423.91437584764,295.42051880599996,1,1,0.03162404383874171,0.03162404383874171
2004,Corn,3370279.4291861607,4986.9411688306,2735270.644398332,4128.198236082199,0.8115857162202222,0.8278016716708593,0.06758209722326573,0.0662582193968039
2004,Golf Course/Turf/Sod,2058212.4637685092,880.5959574271999,295603.92236825835,82.96055665099999,0.1436216753964354,0.09420955882352941,0.23372949267015736,0.356318634181555
2004,Multi-Crop,4814476.9690419,6042.361323688199,3616359.055776886,4526.408908007,0.7511426638928457,0.7491125845556226,0.07967873338139252,0.07989466107182056
