Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
2006,20091,Johnson,Soybeans,Alluvial,161832.817086232,0,2,0,161832.817086232,106.837104,161832.817086232,1,0.15147622972467692
2006,20103,Leavenworth,Corn,Alluvial,3897.8026066501,0,1,0,3897.8026066501,14.568696,3897.8026066501,1,0.026754643014378916
2006,20103,Leavenworth,Corn,Non-alluvial,0,65596.56412077605,1,0,65596.56412077605,28.732706,65596.56412077605,1,0.22829929113107567
2006,20103,Leavenworth,Golf Course/Turf/Sod,Alluvial,17614.1206401783,8733.0514098363,2,0,26347.172050014597,18.21087,26347.172050014597,1,0.14467827209800846
2006,20103,Leavenworth,Golf Course/Turf/Sod,Non-alluvial,5933.047638603474,247251.43433639634,2,0,253184.48197499983,54.63261,253184.48197499983,1,0.4634310569731152
2006,20103,Leavenworth,Multi-Crop,Non-alluvial,0,46896.97946355595,1,0,46896.97946355595,56.65604,46896.97946355595,1,0.08277489825190033
2006,20103,Leavenworth,Other Crop,Alluvial,24.669636750949998,0,1,0,24.669636750949998,0.404686,24.669636750949998,1,0.006095994610871144
2006,20103,Leavenworth,Other Crop,Non-alluvial,3626.43660238965,0,2,0,3626.43660238965,1.214058,3626.43660238965,1,0.29870373593268607
2006,20103,Leavenworth,Soybeans,Alluvial,36091.67856663985,0,2,0,36091.67856663985,60.7029,36091.67856663985,1,0.0594562674380299
2006,20103,Leavenworth,Soybeans,Non-alluvial,0,5600.00754246565,3,0,5600.00754246565,11.331208,5600.00754246565,1,0.04942109916670535
2006,20149,Pottawatomie,Corn,Alluvial,3900923.315699095,128072.41919255692,56,0,4028995.7348916517,2059.4470539999998,4028995.7348916517,1,0.19563482960468728
2006,20149,Pottawatomie,Corn,Non-alluvial,389891.27403038926,394886.8754724566,11,0,784778.149502846,532.16209,784778.149502846,1,0.14746975860359499
2006,20149,Pottawatomie,Golf Course/Turf/Sod,Alluvial,19266.986302491947,0,1,0,19266.986302491947,12.545266,19266.986302491947,1,0.1535797351964633
2006,20149,Pottawatomie,Golf Course/Turf/Sod,Non-alluvial,39372.740254516204,15985.924614615598,4,0,55358.6648691318,77.699712,55358.6648691318,1,0.0712469370145565
2006,20149,Pottawatomie,Multi-Crop,Alluvial,4641185.105684851,12285.4791019731,54,0,4653470.584786825,2673.760402,4653470.584786825,1,0.1740421685243742
2006,20149,Pottawatomie,Multi-Crop,Non-alluvial,0,379024.2990415958,8,0,379024.2990415958,360.979912,379024.2990415958,1,0.10499872331998235
2006,20149,Pottawatomie,Other Crop,Alluvial,14505.7464095586,0,3,0,14505.7464095586,14.973381999999999,14505.7464095586,1,0.09687688732951982
2006,20149,Pottawatomie,Other Crop,Non-alluvial,29319.863278504075,0,5,0,29319.863278504075,28.328020000000002,29319.863278504075,1,0.10350127992886221
2006,20149,Pottawatomie,Soybeans,Alluvial,2664666.1440171134,10891.644625544424,41,0,2675557.7886426575,1751.885694,2675557.7886426575,1,0.15272444987741632
2006,20149,Pottawatomie,Soybeans,Non-alluvial,119808.09088098868,163510.3523852966,5,0,283318.4432662853,235.931938,283318.4432662853,1,0.12008482008327559
2006,20161,Riley,Alfalfa,Non-alluvial,0,1726.8745725664999,1,0,1726.8745725664999,4.856232,1726.8745725664999,1,0.035559968563415006
2006,20161,Riley,Corn,Alluvial,606429.0106118529,0,7,0,606429.0106118529,293.39734999999996,606429.0106118529,1,0.20669205451646136
2006,20161,Riley,Corn,Non-alluvial,84641.52369250945,163584.36129554943,3,0,248225.88498805888,159.041598,248225.88498805888,1,0.15607607576230395
2006,20161,Riley,Golf Course/Turf/Sod,Alluvial,130465.37395739906,0,1,0,130465.37395739906,26.709276,130465.37395739906,1,0.4884646590847279
2006,20161,Riley,Golf Course/Turf/Sod,Non-alluvial,0,33057.313246273,1,0,33057.313246273,60.7029,33057.313246273,1,0.05445755185711556
2006,20161,Riley,Multi-Crop,Alluvial,1761560.0818383356,0,26,0,1761560.0818383356,808.967314,1761560.0818383356,1,0.2177541726782716
2006,20161,Riley,Multi-Crop,Non-alluvial,46107.55108752555,0,1,0,46107.55108752555,32.37488,46107.55108752555,1,0.14241767409647713
2006,20161,Riley,Other Crop,Alluvial,235064.63378142705,0,4,0,235064.63378142705,131.11826399999998,235064.63378142705,1,0.17927680447433858
2006,20161,Riley,Other Crop,Non-alluvial,46600.94382254455,1998.24057682695,4,0,48599.1843993715,19.424928,48599.1843993715,1,0.2501897788211699
2006,20161,Riley,Soybeans,Alluvial,632529.4862943579,136139.39041011757,11,0,768668.8767044755,326.176916,768668.8767044755,1,0.23566010928390635
2006,20161,Riley,Soybeans,Non-alluvial,19538.3523067524,0,1,0,19538.3523067524,16.592126,19538.3523067524,1,0.11775677394658406
2006,20177,Shawnee,Alfalfa,Alluvial,63980.702913588815,0,2,0,63980.702913588815,66.368504,63980.702913588815,1,0.09640220745911164
2006,20177,Shawnee,Corn,Alluvial,5282509.317480924,0,85,0,5282509.317480924,2929.521954,5282509.317480924,1,0.18031984058928557
2006,20177,Shawnee,Corn,Non-alluvial,0,141110.322215434,4,0,141110.322215434,160.66034200000001,141110.322215434,1,0.08783145887703511
2006,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,99282.95310419827,0,2,0,99282.95310419827,30.756135999999998,99282.95310419827,1,0.322806977782249
2006,20177,Shawnee,Golf Course/Turf/Sod,Non-alluvial,0,236396.79416597838,2,0,236396.79416597838,70.82005,236396.79416597838,1,0.33379924776384423
2006,20177,Shawnee,Multi-Crop,Alluvial,2244455.886419806,0,39,0,2244455.886419806,1386.858922,2244455.886419806,1,0.16183736145152092
2006,20177,Shawnee,Multi-Crop,Non-alluvial,34401.80844919977,138408.99699120497,5,0,172810.80544040474,187.774304,172810.80544040474,1,0.09203112553696631
2006,20177,Shawnee,Other Crop,Alluvial,232659.34419820944,0,9,0,232659.34419820944,171.586864,232659.34419820944,1,0.13559274805454188
2006,20177,Shawnee,Other Crop,Non-alluvial,0,382.379369639725,1,0,382.379369639725,2.832802,382.379369639725,1,0.013498273781214676
2006,20177,Shawnee,Soybeans,Alluvial,1889842.1929432757,4539.2131621748,57,0,1894381.4061054504,1604.57999,1894381.4061054504,1,0.11806088932378188
2006,20177,Shawnee,Soybeans,Non-alluvial,47859.09529684299,41876.70838473762,3,0,89735.80368158061,88.221548,89735.80368158061,1,0.10171642383965039
