Year,Crop,Domain,FIPS,County,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m,annual_domain_area_share
2009,Soybeans,Non-alluvial,20091,Johnson,0,56086.41915328482,1,0,56086.41915328482,48.56232,56086.41915328482,1,0.11549369789846288,0.09125475285171102
2009,Soybeans,Non-alluvial,20103,Leavenworth,0,19427.338941373127,2,0,19427.338941373127,56.65604,19427.338941373127,1,0.03428996968615019,0.10646387832699619
2009,Soybeans,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2009,Soybeans,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2009,Soybeans,Non-alluvial,20149,Pottawatomie,9436.136057238375,0,1,0,9436.136057238375,102.385558,9436.136057238375,1,0.009216276437384239,0.19239543726235742
2009,Soybeans,Non-alluvial,20161,Riley,0,1726.8745725664999,1,0,1726.8745725664999,7.284348,1726.8745725664999,1,0.02370664570894334,0.013688212927756653
2009,Soybeans,Non-alluvial,20177,Shawnee,0,7228.20356802835,2,0,7228.20356802835,94.69652400000001,7228.20356802835,1,0.007633018893099338,0.1779467680608365
2009,Soybeans,Non-alluvial,20197,Wabaunsee,0,10250.234070019726,2,0,10250.234070019726,61.512271999999996,10250.234070019726,1,0.0166637221106379,0.11558935361216728
2010,Corn,Alluvial,20045,Douglas,251321.9244003031,0,5,0,251321.9244003031,182.1087,251321.9244003031,1,0.1380065446627773,0.022921176620399848
2010,Corn,Alluvial,20061,Geary,139519.13064499773,0,3,0,139519.13064499773,146.091646,139519.13064499773,1,0.09550110116837053,0.018387877244365212
2010,Corn,Alluvial,20087,Jefferson,699162.1751586739,17034.384176530973,19,0,716196.5593352049,738.147264,716196.5593352049,1,0.0970262431718781,0.09290716923468738
2010,Corn,Alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Alluvial,20103,Leavenworth,14530.416046309549,0,1,0,14530.416046309549,64.74976,14530.416046309549,1,0.0224408801612694,0.008149751687253279
2010,Corn,Alluvial,20149,Pottawatomie,1480597.5888817662,4119.82933740865,51,0,1484717.4182191747,2262.5994259999998,1484717.4182191747,1,0.0656199856305972,0.28478288552145675
2010,Corn,Alluvial,20161,Riley,427771.50126147293,44417.68097008547,11,0,472189.1822315584,455.27175,472189.1822315584,1,0.10371589764389257,0.057302941550999624
2010,Corn,Alluvial,20177,Shawnee,2729349.931578104,0,84,0,2729349.931578104,3159.383602,2729349.931578104,1,0.0863886844842244,0.39765694638991467
2010,Corn,Alluvial,20197,Wabaunsee,897580.0635465648,30528.675479300622,25,0,928108.7390258653,936.645747,928108.7390258653,1,0.09908855530476937,0.11789125175092323
2010,Corn,Alluvial,20209,Wyandotte,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Non-alluvial,20013,Brown,0,70826.52711197746,2,0,70826.52711197746,52.609179999999995,70826.52711197746,1,0.13462769636777738,0.035287730727470136
2010,Corn,Non-alluvial,20061,Geary,161142.06725720537,78967.50723979094,5,0,240109.57449699633,208.817976,240109.57449699633,1,0.11498510765040475,0.14006514657980457
2010,Corn,Non-alluvial,20085,Jackson,0,74.00891025284999,1,0,74.00891025284999,0.809372,74.00891025284999,1,0.009143991916306715,5.428881650380022e-4
2010,Corn,Non-alluvial,20087,Jefferson,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Non-alluvial,20091,Johnson,0,12717.197745114725,1,0,12717.197745114725,40.4686,12717.197745114725,1,0.03142485221904075,0.02714440825190011
2010,Corn,Non-alluvial,20103,Leavenworth,0,6056.395822358225,1,0,6056.395822358225,16.18744,6056.395822358225,1,0.03741416692422165,0.010857763300760043
2010,Corn,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2010,Corn,Non-alluvial,20149,Pottawatomie,222039.06557692547,93325.23582884384,11,0,315364.3014057693,566.965086,315364.3014057693,1,0.05562323134052196,0.3802931596091206
2010,Corn,Non-alluvial,20161,Riley,30923.389667315823,87675.88901287629,3,1,105561.37565731503,124.643288,118599.2786801921,0.8900676027041081,0.09515095484338644,0.08360477741585233
2010,Corn,Non-alluvial,20177,Shawnee,0,172280.40825025932,5,0,172280.40825025932,222.981986,172280.40825025932,1,0.0772620297005783,0.1495656894679696
2010,Corn,Non-alluvial,20197,Wabaunsee,16898.701174400747,257637.3514085463,7,0,274536.0525829471,257.380296,274536.0525829471,1,0.10666552834446467,0.17263843648208468
2010,Soybeans,Alluvial,20045,Douglas,436467.54821618285,0,13,0,436467.54821618285,535.804264,436467.54821618285,1,0.08146026031181097,0.09141752399364772
2010,Soybeans,Alluvial,20061,Geary,66731.36741131975,0,2,0,66731.36741131975,57.870098,66731.36741131975,1,0.1153123456112339,0.00987364496306014
2010,Soybeans,Alluvial,20087,Jefferson,470573.3210243712,26285.49795813722,17,0,496858.81898250844,567.774458,496858.81898250844,1,0.08750989270153263,0.0968721949872264
2010,Soybeans,Alluvial,20091,Johnson,124334.96922478799,0,2,0,124334.96922478799,53.418552,124334.96922478799,1,0.23275615786962547,0.009114133812055513
2010,Soybeans,Alluvial,20103,Leavenworth,10225.564433268773,0,1,0,10225.564433268773,17.806184,10225.564433268773,1,0.05742704014104748,0.003038044604018504
2010,Soybeans,Alluvial,20149,Pottawatomie,1746832.3086980185,0,49,0,1746832.3086980185,1842.940044,1746832.3086980185,1,0.09478508616626591,0.31443761651591523
2010,Soybeans,Alluvial,20161,Riley,545815.7131147687,0,13,0,545815.7131147687,436.65619399999997,545815.7131147687,1,0.12499896271132908,0.07450113926672651
2010,Soybeans,Alluvial,20177,Shawnee,1894628.1024729598,542.7320085209,55,0,1895170.8344814808,1686.326562,1895170.8344814808,1,0.11238456875362203,0.287716633294207
2010,Soybeans,Alluvial,20197,Wabaunsee,639609.6720418807,0,15,0,639609.6720418807,568.58383,639609.6720418807,1,0.11249170980502217,0.09701028792377271
2010,Soybeans,Alluvial,20209,Wyandotte,82643.2831156825,0,3,0,82643.2831156825,93.887152,82643.2831156825,1,0.08802406011387212,0.016018780639370296
2010,Soybeans,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20013,Brown,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20061,Geary,183406.41442493777,185996.72628378752,9,0,369403.14070872526,322.13005599999997,369403.14070872526,1,0.11467515490349814,0.31301612268973655
2010,Soybeans,Non-alluvial,20085,Jackson,0,15418.522969343749,1,0,15418.522969343749,20.2343,15418.522969343749,1,0.0761999326358893,0.019661816751867876
2010,Soybeans,Non-alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20103,Leavenworth,0,52213.28618338567,5,0,52213.28618338567,58.274784,52213.28618338567,1,0.08959842079103318,0.05662603224537948
2010,Soybeans,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20149,Pottawatomie,93892.6374741157,356513.2555063539,9,0,450405.8929804696,428.157788,450405.8929804696,1,0.105196239705085,0.4160440424695242
2010,Soybeans,Non-alluvial,20161,Riley,0,0,0,0,0,0,0,NA,NA,0
2010,Soybeans,Non-alluvial,20177,Shawnee,21684.610704085047,36387.71420765125,3,0,58072.324911736294,65.15444600000001,58072.324911736294,1,0.08913025660863771,0.06331104994101457
2010,Soybeans,Non-alluvial,20197,Wabaunsee,0,202969.43636844112,5,0,202969.43636844112,135.165124,202969.43636844112,1,0.15016405886509682,0.1313409359024774
2011,Corn,Alluvial,20045,Douglas,1158177.771365225,0,16,0,1158177.771365225,679.063108,1158177.771365225,1,0.17055524850647974,0.07539201150199938
2011,Corn,Alluvial,20061,Geary,355649.8182200707,0,4,0,355649.8182200707,154.99473799999998,355649.8182200707,1,0.22945928539849572,0.017208069371433706
2011,Corn,Alluvial,20087,Jefferson,1269696.8642978945,63240.61381106033,22,0,1332937.4781089548,795.612676,1332937.4781089548,1,0.16753597803524123,0.08833176079435683
2011,Corn,Alluvial,20091,Johnson,161721.8037208527,0,2,0,161721.8037208527,106.837104,161721.8037208527,1,0.15137232072562795,0.011861436851327671
2011,Corn,Alluvial,20103,Leavenworth,12260.809465222148,0,1,0,12260.809465222148,19.829614,12260.809465222148,1,0.06183080248169303,0.0022015545671024844
2011,Corn,Alluvial,20149,Pottawatomie,4600319.852406903,215254.9154704142,59,0,4815574.767877317,2367.4130999999998,4815574.767877317,1,0.20341083556044012,0.2628386575010109
2011,Corn,Alluvial,20161,Riley,1655184.6081682392,0,20,0,1655184.6081682392,706.17707,1655184.6081682392,1,0.23438662602967827,0.0784023003998742
2011,Corn,Alluvial,20177,Shawnee,6542288.987804936,0,104,0,6542288.987804936,3403.40926,6542288.987804936,1,0.19222751329662116,0.377858651210855
2011,Corn,Alluvial,20197,Wabaunsee,1603958.1074548915,16035.263888117499,23,0,1619993.371343009,773.759632,1619993.371343009,1,0.2093664885509314,0.0859055578020398
2011,Corn,Alluvial,20209,Wyandotte,0,0,0,0,0,0,0,NA,NA,0
2011,Corn,Non-alluvial,20005,Atchison,21240.55724256795,0,3,0,21240.55724256795,55.846667999999994,21240.55724256795,1,0.03803370550695693,0.036702127659574466
2011,Corn,Non-alluvial,20013,Brown,0,63622.99318070005,2,0,63622.99318070005,52.60918,63622.99318070005,1,0.120935154626436,0.034574468085106384
2011,Corn,Non-alluvial,20061,Geary,347743.19964139117,113702.35578512854,6,0,461445.5554265197,319.297254,461445.5554265197,1,0.14451911178243948,0.2098404255319149
2011,Corn,Non-alluvial,20085,Jackson,0,27346.292338428077,1,0,27346.292338428077,20.2343,27346.292338428077,1,0.1351482005230133,0.013297872340425534
2011,Corn,Non-alluvial,20087,Jefferson,0,0,0,0,0,0,0,NA,NA,0
2011,Corn,Non-alluvial,20091,Johnson,0,73712.8746118386,2,0,73712.8746118386,53.418552,73712.8746118386,1,0.13799115073699228,0.035106382978723406
2011,Corn,Non-alluvial,20103,Leavenworth,0,12310.14873872405,1,0,12310.14873872405,32.37488,12310.14873872405,1,0.038023766385308765,0.02127659574468085
2011,Corn,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2011,Corn,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2011,Corn,Non-alluvial,20149,Pottawatomie,472596.2312379491,529694.1054980229,12,0,1002290.3367359721,525.687114,1002290.3367359721,1,0.19066290765802796,0.3454787234042553
2011,Corn,Non-alluvial,20161,Riley,0,185244.30236288355,1,0,185244.30236288355,112.907394,185244.30236288355,1,0.1640674678603277,0.07420212765957447
2011,Corn,Non-alluvial,20177,Shawnee,31688.148406595275,164423.12894508173,5,0,196111.277351677,140.426042,196111.277351677,1,0.1396544932539486,0.09228723404255319
2011,Corn,Non-alluvial,20197,Wabaunsee,129589.60185274035,341995.1742784198,7,0,471584.7761311602,208.817976,471584.7761311602,1,0.22583533523529614,0.1372340425531915
2011,Soybeans,Alluvial,20045,Douglas,344708.83432102436,0,6,0,344708.83432102436,243.620972,344708.83432102436,1,0.14149390813571847,0.04153586090316349
2011,Soybeans,Alluvial,20061,Geary,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Alluvial,20087,Jefferson,801195.7927606031,346608.3963508475,15,0,1147804.1891114507,585.580642,1147804.1891114507,1,0.19601129319972477,0.09983785835029498
2011,Soybeans,Alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Alluvial,20103,Leavenworth,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Alluvial,20149,Pottawatomie,3787196.2902772157,52731.34855515562,51,0,3839927.638832371,2051.7580199999998,3839927.638832371,1,0.18715304638274893,0.34981198468278885
2011,Soybeans,Alluvial,20161,Riley,730973.671749024,56246.771792166,10,0,787220.4435411899,399.829768,787220.4435411899,1,0.19688890286457858,0.06816848932279988
2011,Soybeans,Alluvial,20177,Shawnee,2174702.488506495,0,46,0,2174702.488506495,1567.7535639999999,2174702.488506495,1,0.13871456193395043,0.26729223444992584
2011,Soybeans,Alluvial,20197,Wabaunsee,1851049.1891524068,55482.01305288654,26,0,1906531.2022052933,922.8864229999999,1906531.2022052933,1,0.20658351392880916,0.15734639666057199
2011,Soybeans,Alluvial,20209,Wyandotte,158502.41612485374,0,3,0,158502.41612485374,93.887152,158502.41612485374,1,0.16882226454675475,0.016007175630455034
2011,Soybeans,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20013,Brown,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20061,Geary,474236.76208188734,149596.67725776078,10,0,623833.4393396481,347.625274,623833.4393396481,1,0.17945572028219334,0.2565710872162485
2011,Soybeans,Non-alluvial,20085,Jackson,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20103,Leavenworth,0,124470.65222691822,6,0,124470.65222691822,76.080968,124470.65222691822,1,0.1636028766444168,0.056152927120669056
2011,Soybeans,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2011,Soybeans,Non-alluvial,20149,Pottawatomie,350247.16777161264,382441.0437316024,10,0,732688.211503215,513.546534,732688.211503215,1,0.14267221429698423,0.3790322580645161
2011,Soybeans,Non-alluvial,20161,Riley,29492.550735760724,0,1,0,29492.550735760724,19.020242,29492.550735760724,1,0.15505875653822243,0.014038231780167264
2011,Soybeans,Non-alluvial,20177,Shawnee,0,164423.12894508173,5,0,164423.12894508173,190.20242,164423.12894508173,1,0.0864463916626727,0.14038231780167265
2011,Soybeans,Non-alluvial,20197,Wabaunsee,70037.09873594705,285218.00529610843,5,0,355255.1040320555,208.41329,355255.1040320555,1,0.17045702989097072,0.1538231780167264
2012,Corn,Alluvial,20045,Douglas,1218087.984214907,0,12,0,1218087.984214907,470.649818,1218087.984214907,1,0.2588098279504502,0.052616101522383336
2012,Corn,Alluvial,20061,Geary,360731.76339076634,0,2,0,360731.76339076634,112.502708,360731.76339076634,1,0.3206427381203716,0.012577193657113128
2012,Corn,Alluvial,20087,Jefferson,2343948.531436388,264951.89870520297,27,0,2608900.4301415905,1087.795968,2608900.4301415905,1,0.23983361833361663,0.12160969982129527
2012,Corn,Alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2012,Corn,Alluvial,20103,Leavenworth,0,0,0,0,0,0,0,NA,NA,0
2012,Corn,Alluvial,20149,Pottawatomie,5079490.54183898,215279.58510716516,59,0,5294770.126946146,2362.556868,5294770.126946146,1,0.22411185942916087,0.2641210667993757
2012,Corn,Alluvial,20161,Riley,775095.317078098,0,10,0,775095.317078098,329.81909,775095.317078098,1,0.23500620206007417,0.036871988599090647
2012,Corn,Alluvial,20177,Shawnee,8245813.749186662,1813.2183011948248,101,0,8247626.967487857,3531.290036,8247626.967487857,1,0.23355846966425323,0.394779107381184
2012,Corn,Alluvial,20197,Wabaunsee,3032502.7627921533,59786.86466592733,30,0,3092289.62745808,1050.362513,3092289.62745808,1,0.2944021315675115,0.117424842219558
2012,Corn,Alluvial,20209,Wyandotte,0,0,0,0,0,0,0,NA,NA,0
2012,Corn,Non-alluvial,20005,Atchison,95693.52095693504,0,2,0,95693.52095693504,32.374880000000005,95693.52095693504,1,0.29557953869461456,0.019723865877712035
2012,Corn,Non-alluvial,20013,Brown,0,64350.74746485308,2,0,64350.74746485308,52.60918,64350.74746485308,1,0.12231847648044138,0.03205128205128205
