Year,Crop,Domain,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
2009,Golf Course/Turf/Sod,Non-alluvial,1073967.9663158571,155714.74717199637,918253.2191438609,723.1738819999999,28,1073967.9663158571,1,0.14850757100708695
2009,Multi-Crop,Alluvial,1456199.3181350764,1456199.3181350764,0,3961.0665679999997,92,1456199.3181350764,1,0.03676280852988372
2009,Multi-Crop,Non-alluvial,1206776.9557645966,1028366.1427817262,178410.81298287038,1113.2911860000002,23,1206776.9557645966,1,0.10839724332144281
2009,Other Crop,Alluvial,348409.2798336668,285131.66156748007,63277.61826618674,279.23334,16,348409.2798336668,1,0.12477352447729445
2009,Other Crop,Non-alluvial,74119.92361822928,41642.3468356036,32477.576782625674,60.7029,15,74119.92361822928,1,0.12210277205574903
2009,Sorghum,Alluvial,727.754284153025,727.754284153025,0,2.02343,1,727.754284153025,1,0.03596636820413975
2009,Soybeans,Alluvial,1071587.3463693906,1071587.3463693906,0,3101.715847,79,1071587.3463693906,1,0.034548211352301565
2009,Soybeans,Non-alluvial,202167.67317403524,19279.321120867426,182888.35205316782,532.16209,15,202167.67317403524,1,0.03798986755596123
2010,Alfalfa,Alluvial,64474.09564860782,64474.09564860782,0,93.482466,3,64474.09564860782,1,0.06896918578143608
2010,Alfalfa,Non-alluvial,1295.155929424875,0,1295.155929424875,7.284348,1,1295.155929424875,1,0.017779984281707507
2010,Corn,Alluvial,6735933.301481518,6639832.731518192,96100.56996332572,7944.9978949999995,199,6735933.301481518,1,0.08478206527556945
2010,Corn,Non-alluvial,1210563.7450058674,431003.2236758474,779560.5213300199,1490.863224,36,1197525.8419829903,0.9892298913818751,0.08119884678340335
2010,Golf Course/Turf/Sod,Alluvial,225591.49326906225,222803.8243162049,2787.6689528573497,105.623046,10,225591.49326906225,1,0.21358169624180529
2010,Golf Course/Turf/Sod,Non-alluvial,1579979.2205329682,148511.213240719,1431468.007292249,713.6637609999999,29,1579979.2205329682,1,0.2213898626881474
2010,Multi-Crop,Alluvial,3913233.464437819,3913233.464437819,0,4465.71001,101,3913233.464437819,1,0.08762847241927872
2010,Multi-Crop,Non-alluvial,1837184.853298373,1178727.5787787663,658457.2745196064,1315.2295,22,1837184.853298373,1,0.1396854962041509
2010,Other Crop,Alluvial,371031.33673428796,371031.33673428796,0,361.789284,20,371031.33673428796,1,0.10255454020973377
2010,Other Crop,Non-alluvial,169542.07857090386,68581.590167641,100960.48840326286,117.76362599999999,20,169542.07857090386,1,0.14396812014849467
2010,Sorghum,Alluvial,42703.141215894444,42703.141215894444,0,50.585750000000004,2,42703.141215894444,1,0.08441733337134359
2010,Soybeans,Alluvial,6044690.079719899,6017861.849753241,26828.22996665812,5861.067338,170,6044690.079719899,1,0.10313292325664626
2010,Soybeans,Non-alluvial,1148482.6041221018,298983.66260313854,849498.9415189632,1029.1164979999999,32,1148482.6041221018,1,0.11159889151073564
2011,Alfalfa,Alluvial,130502.3784125255,130502.3784125255,0,79.318456,3,130502.3784125255,1,0.16452965046687937
2011,Corn,Alluvial,17653789.416073825,17359258.622904234,294530.79316959204,9007.096302,251,17653789.416073825,1,0.19599867509081537
2011,Corn,Non-alluvial,2514909.1141204713,1002857.7383812439,1512051.3757392273,1521.61936,40,2514909.1141204713,1,0.16527846452482514
2011,Golf Course/Turf/Sod,Alluvial,272587.15127962205,267887.58547856606,4699.565801055975,110.479278,11,272587.15127962205,1,0.24673147418615646
2011,Golf Course/Turf/Sod,Non-alluvial,1901153.2213935861,156134.13099676254,1745019.0903968236,666.3154989999999,29,1901153.2213935861,1,0.2853232776735374
2011,Multi-Crop,Alluvial,8678642.52598208,8657179.942008752,21462.5839733265,4851.780454,106,8678642.52598208,1,0.17887541714355734
2011,Multi-Crop,Non-alluvial,2556378.7734988183,1209515.285443952,1346863.4880548662,1465.772692,28,2556378.7734988183,1,0.17440485741419573
2011,Other Crop,Alluvial,956330.8034689522,956330.8034689522,0,445.1546,27,956330.8034689522,1,0.21483116280702305
2011,Other Crop,Non-alluvial,206645.21224433268,88675.00930128977,117970.20294304291,125.45266000000001,22,206645.21224433268,1,0.16471967373536175
2011,Sorghum,Alluvial,82211.56447254086,60872.32868296912,21339.23578957175,48.967006,2,82211.56447254086,1,0.16789175240271145
2011,Soybeans,Alluvial,10359397.212642679,9848328.682891622,511068.52975105564,5865.316540999999,157,10359397.212642679,1,0.17662128105496022
2011,Soybeans,Non-alluvial,2030163.0867826792,924013.5793252077,1106149.5074574715,1354.888728,37,2030163.0867826792,1,0.14983983886112007
2011,Wheat,Alluvial,15467.862242845647,15467.862242845647,0,28.32802,2,15467.862242845647,1,0.05460269458594581
2012,Alfalfa,Alluvial,239998.56113161705,239998.56113161705,0,99.55275599999999,4,239998.56113161705,1,0.2410767624872355
2012,Alfalfa,Non-alluvial,8708.38177308535,0,8708.38177308535,11.331208,2,8708.38177308535,1,0.0768530749156255
2012,Corn,Alluvial,21597502.216717444,21055670.649937954,541831.5667794903,8944.977001,241,21597502.216717444,1,0.24144838174880676
2012,Corn,Non-alluvial,3230908.3163616685,1525360.644766365,1705547.6715953036,1641.406416,43,3230908.3163616685,1,0.19683780231803777
2012,Golf Course/Turf/Sod,Alluvial,380936.1958897944,338516.75549653586,42419.44039325853,107.64647599999999,11,380936.1958897944,1,0.35387707061566454
2012,Golf Course/Turf/Sod,Non-alluvial,2499983.9838861465,333669.1718749742,2166314.812011172,634.749991,28,2499983.9838861465,1,0.39385333112767956
2012,Multi-Crop,Alluvial,12308853.582794623,12308853.582794623,0,5481.876555999999,130,12194139.771902706,0.9906803822045406,0.22453722656929206
2012,Multi-Crop,Non-alluvial,3203623.698115118,1511360.6259102009,1692263.0722049172,1794.78241,31,3203623.698115118,1,0.17849649518880217
2012,Other Crop,Alluvial,1918125.9314782396,1918125.9314782396,0,564.941656,29,1918125.9314782396,1,0.3395263760614317
2012,Other Crop,Non-alluvial,325219.82128777384,98851.23446105664,226368.5868267172,117.156597,20,325219.82128777384,1,0.27759411728882316
2012,Sorghum,Alluvial,121436.28690655137,121436.28690655137,0,52.60918,2,121436.28690655137,1,0.23082718055394771
2012,Soybeans,Alluvial,11461895.61386101,11119431.716484321,342463.8973766879,5448.692304,149,11461895.61386101,1,0.21036048604628657
2012,Soybeans,Non-alluvial,1668728.2387445108,610881.8800453993,1057846.3586991115,898.807606,30,1668728.2387445108,1,0.18566022668309626
2012,Unknown,Alluvial,5328.6415382052,5328.6415382052,0,0,1,0,0,NA
2012,Unknown,Non-alluvial,444472.8453418661,332151.98921479075,112320.85612707534,84.174688,4,112320.85612707534,0.25270577787645004,0.5280362255003144
2013,Alfalfa,Alluvial,35635.29028674727,35635.29028674727,0,26.709276,1,35635.29028674727,1,0.1334191547788389
2013,Alfalfa,Non-alluvial,5797.36463647325,0,5797.36463647325,14.16401,2,5797.36463647325,1,0.04093024953013483
2013,Corn,Alluvial,15514290.499210937,15352803.057039218,161487.4421717187,10224.796476,274,15514290.499210937,1,0.15173202259454868
2013,Corn,Non-alluvial,2372935.354618754,847550.0402156382,1525385.3144031158,1828.371348,48,2372935.354618754,1,0.1297841030605974
2013,Golf Course/Turf/Sod,Alluvial,256675.23557525928,250113.11219950658,6562.1233757527,102.385558,10,256675.23557525928,1,0.25069476651703093
2013,Golf Course/Turf/Sod,Non-alluvial,2460981.2881828947,198565.90620839654,2262415.381974498,722.162167,32,2460981.2881828947,1,0.3407795922633669
2013,Multi-Crop,Alluvial,6783533.365592476,6619036.227737141,164497.13785533461,5345.092688,121,6783533.365592476,1,0.12691142626622448
2013,Multi-Crop,Non-alluvial,2065230.9754241547,1065197.9104508944,1000033.0649732602,1548.328636,25,2065230.9754241547,1,0.13338453655159
2013,Other Crop,Alluvial,948350.1759800198,948350.1759800198,0,680.277166,20,948350.1759800198,1,0.1394064395188034
2013,Other Crop,Non-alluvial,154049.54669130727,45823.850264889625,108225.69642641763,110.883964,16,154049.54669130727,1,0.13892860710797394
2013,Sorghum,Alluvial,180248.70092081616,180248.70092081616,0,132.332322,3,180248.70092081616,1,0.1362091272915291
2013,Sorghum,Non-alluvial,32255.55005186712,32255.55005186712,0,28.32802,1,32255.55005186712,1,0.11386447076734314
2013,Soybeans,Alluvial,7104608.68790609,6796965.982803368,307642.7051027219,5181.397201,140,7083639.496667783,0.9970485086287718,0.13711762314873127
2013,Soybeans,Non-alluvial,1653679.7603264311,465812.0811314379,1187867.6791949933,1493.696026,35,1653679.7603264311,1,0.11071059516405454
2013,Unknown,Alluvial,9793.84579012715,9793.84579012715,0,6.474976,2,9793.84579012715,1,0.15125686628224028
2013,Unknown,Non-alluvial,38484.633331482,5711.020907844924,32773.612423637074,38.44517,2,38484.633331482,1,0.1001026483469367
2014,Alfalfa,Alluvial,28382.417081967975,28382.417081967975,0,67.177876,2,28382.417081967975,1,0.04224964939642923
2014,Alfalfa,Non-alluvial,4539.2131621748,0,4539.2131621748,8.09372,1,4539.2131621748,1,0.056083150420014535
2014,Corn,Alluvial,14578213.467514515,14150849.015259432,427364.4522550823,9142.463769,241,14578213.467514515,1,0.15945607044072624
2014,Corn,Non-alluvial,3043086.0369583108,1370645.0178827818,1672441.0190755287,2284.047784,54,3043086.0369583108,1,0.1332321529468628
2014,Golf Course/Turf/Sod,Alluvial,252876.11151561298,228058.45694415728,24817.6545714557,102.385558,10,252876.11151561298,1,0.24698416110171803
2014,Golf Course/Turf/Sod,Non-alluvial,1685330.9042779002,239073.44975345643,1446257.4545244437,773.557289,32,1685330.9042779002,1,0.21786762638570398
2014,Multi-Crop,Alluvial,6276769.687454461,6019539.385052305,257230.30240215565,5026.604806,114,6276769.687454461,1,0.12487096021477963
2014,Multi-Crop,Non-alluvial,2521310.8848573426,1221751.4252724233,1299559.4595849195,1848.200962,27,2521310.8848573426,1,0.13641973663561716
2014,Other Crop,Alluvial,842973.822598337,754237.1392051697,88736.68339316714,719.531708,16,842973.822598337,1,0.11715589642900587
2014,Other Crop,Non-alluvial,322160.78633065603,52299.629912013996,269861.15641864203,184.13213,17,322160.78633065603,1,0.17496174422717864
2014,Sorghum,Alluvial,629.075737149225,629.075737149225,0,2.02343,1,629.075737149225,1,0.031089572515442837
2014,Soybeans,Alluvial,9068373.447373588,8919134.479848716,149238.96752487202,6909.811107,189,9068373.447373588,1,0.13123909332610917
2014,Soybeans,Non-alluvial,939925.4950295704,433260.49543855933,506664.99959101103,722.36451,20,939925.4950295704,1,0.1301178950540594
2014,Unknown,Alluvial,10052.876976012125,10052.876976012125,0,14.568696,3,10052.876976012125,1,0.06900327233138866
2014,Unknown,Non-alluvial,66706.69777456879,0,66706.69777456879,41.277972,3,66706.69777456879,1,0.16160362184113308
2015,Corn,Alluvial,3793240.351281198,3552427.6921368,240812.6591443984,6808.032577999999,172,3793240.351281198,1,0.055717129843634514
2015,Corn,Non-alluvial,1270375.2793085456,602025.4804518083,668349.7988567373,1130.287998,24,1270375.2793085456,1,0.11239394575156283
2015,Golf Course/Turf/Sod,Alluvial,334902.6537125217,328377.5347918954,6525.118920626274,110.479278,13,334902.6537125217,1,0.3031361715746565
2015,Golf Course/Turf/Sod,Non-alluvial,1292725.9702049063,212010.8582376643,1080715.111967242,712.449703,26,1292725.9702049063,1,0.18144803271886636
2015,Multi-Crop,Alluvial,2268767.8134378674,2197373.884680618,71393.9287572493,3867.988788,86,2268767.8134378674,1,0.058654973884010836
2015,Multi-Crop,Non-alluvial,1444690.9325907584,620182.3331005075,824508.5994902508,1787.4980620000001,25,1444690.9325907584,1,0.08082195798155548
2015,Other Crop,Alluvial,405087.7702689745,332842.7390438174,72245.03122515707,540.660496,13,405087.7702689745,1,0.07492461041003715
2015,Other Crop,Non-alluvial,252789.76778698462,71097.8931162379,181691.87467074674,365.836144,17,252789.76778698462,1,0.06909917785132369
2015,Sorghum,Non-alluvial,57258.22689895495,0,57258.22689895495,51.799808,2,57258.22689895495,1,0.11053752727993692
2015,Soybeans,Alluvial,3761798.8992421124,3610055.963587019,151742.93565509346,5814.326105,147,3761798.8992421124,1,0.06469879451734178
2015,Soybeans,Non-alluvial,933856.7643888367,276793.324345659,657063.4400431777,1313.20607,26,933856.7643888367,1,0.07111273590053058
2015,Unknown,Alluvial,192065.45692452122,192065.45692452122,0,343.9831,9,192065.45692452122,1,0.055835724756396816
2015,Unknown,Non-alluvial,124396.64331666537,160.352638881175,124236.2906777842,189.797734,9,124396.64331666537,1,0.06554169045909967
2015,Wheat,Non-alluvial,15517.20151634755,0,15517.20151634755,85.388746,2,15517.20151634755,1,0.01817241995373436
2016,Alfalfa,Alluvial,76956.93184458851,76956.93184458851,0,18.21087,1,76956.93184458851,1,0.4225878930802785
2016,Corn,Alluvial,11507435.763303263,10856626.076176452,650809.687126812,10021.037075,267,11507435.763303263,1,0.11483278304609269
2016,Corn,Non-alluvial,2440209.4540385944,1031610.2000144761,1408599.2540241184,2345.964742,53,2440209.4540385944,1,0.104017311528657
2016,Golf Course/Turf/Sod,Alluvial,308382.79420525045,305422.4377951365,2960.3564101139996,117.35893999999999,15,308382.79420525045,1,0.2627688987351543
