Year,Crop,Domain,FIPS,County,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2019,Soybeans,Alluvial,20103,Leavenworth,0,0,0
2019,Soybeans,Alluvial,20149,Pottawatomie,1742.982602,852027.5792859356,45
2019,Soybeans,Alluvial,20161,Riley,496.549722,168444.27973548658,12
2019,Soybeans,Alluvial,20177,Shawnee,945.346496,258291.0967824465,27
2019,Soybeans,Alluvial,20197,Wabaunsee,1166.709738,816922.6861893338,23
2019,Soybeans,Alluvial,20209,Wyandotte,0,0,0
2019,Soybeans,Non-alluvial,20005,Atchison,0,0,0
2019,Soybeans,Non-alluvial,20061,Geary,157.018168,42925.167946653,5
2019,Soybeans,Non-alluvial,20085,Jackson,50.58575,22881.088086506126,1
2019,Soybeans,Non-alluvial,20131,Nemaha,11.331208,9867.85470038,1
2019,Soybeans,Non-alluvial,20139,Osage,0,0,0
2019,Soybeans,Non-alluvial,20149,Pottawatomie,135.974496,6673.136741131975,3
2019,Soybeans,Non-alluvial,20161,Riley,0,0,0
2019,Soybeans,Non-alluvial,20177,Shawnee,0,0,0
2019,Soybeans,Non-alluvial,20197,Wabaunsee,27.113962,35363.92428248683,1
2020,Corn,Alluvial,20045,Douglas,524.06837,456055.23979643715,11
2020,Corn,Alluvial,20061,Geary,66.77319,122891.79547485743,2
2020,Corn,Alluvial,20087,Jefferson,839.318764,632073.0980144654,26
2020,Corn,Alluvial,20091,Johnson,0,0,0
2020,Corn,Alluvial,20103,Leavenworth,111.28864999999999,134449.52029267748,3
2020,Corn,Alluvial,20149,Pottawatomie,2424.473826,2426530.1404601927,62
2020,Corn,Alluvial,20161,Riley,519.616824,456745.9896254637,12
2020,Corn,Alluvial,20177,Shawnee,3667.2645319999997,2293795.159921706,109
2020,Corn,Alluvial,20197,Wabaunsee,1264.036721,1629466.5118553739,32
2020,Corn,Alluvial,20209,Wyandotte,0,0,0
2020,Corn,Non-alluvial,20005,Atchison,41.075629,9226.444144855299,2
