Year,Crop,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
2010,Golf Course/Turf/Sod,1805570.7138020303,371315.0375569239,1434255.6762451064,819.286807,39,1805570.7138020303,1,0.22038322823890297
2010,Multi-Crop,5750418.317736192,5091961.043216585,658457.2745196064,5780.93951,123,5750418.317736192,1,0.0994720375085916
2010,Other Crop,540573.4153051919,439612.92690192896,100960.48840326286,479.55291,40,540573.4153051919,1,0.11272445730861938
2010,Sorghum,42703.141215894444,42703.141215894444,0,50.585750000000004,2,42703.141215894444,1,0.08441733337134359
2010,Soybeans,7193172.6838420015,6316845.51235638,876327.1714856214,6890.183836,202,7193172.6838420015,1,0.10439739860435854
2011,Alfalfa,130502.3784125255,130502.3784125255,0,79.318456,3,130502.3784125255,1,0.16452965046687937
2011,Corn,20168698.530194297,18362116.361285478,1806582.1689088193,10528.715662,291,20168698.530194297,1,0.19155896291308067
2011,Golf Course/Turf/Sod,2173740.3726732084,424021.7164753286,1749718.6561978795,776.794777,40,2173740.3726732084,1,0.2798345762658505
2011,Multi-Crop,11235021.299480898,9866695.227452705,1368326.0720281927,6317.553146,134,11235021.299480898,1,0.17783817626598716
2011,Other Crop,1162976.015713285,1045005.812770242,117970.20294304291,570.60726,49,1162976.015713285,1,0.20381374322389187
2011,Sorghum,82211.56447254086,60872.32868296912,21339.23578957175,48.967006,2,82211.56447254086,1,0.16789175240271145
2011,Soybeans,12389560.299425358,10772342.26221683,1617218.037208527,7220.205268999999,194,12389560.299425358,1,0.17159567959404173
2011,Wheat,15467.862242845647,15467.862242845647,0,28.32802,2,15467.862242845647,1,0.05460269458594581
2012,Alfalfa,248706.94290470242,239998.56113161705,8708.38177308535,110.88396399999999,6,248706.94290470242,1,0.2242947798156841
2012,Corn,24828410.533079114,22581031.294704318,2247379.238374794,10586.383417,284,24828410.533079114,1,0.23453156337799697
2012,Golf Course/Turf/Sod,2880920.1797759407,672185.9273715101,2208734.2524044304,742.396467,39,2880920.1797759407,1,0.38805682783185186
2012,Multi-Crop,15512477.280909741,13820214.208704824,1692263.0722049172,7276.658965999999,161,15397763.470017824,0.9926050617954433,0.21318131512540836
2012,Other Crop,2243345.7527660136,2016977.1659392961,226368.5868267172,682.098253,49,2243345.7527660136,1,0.32888894567598514
2012,Sorghum,121436.28690655137,121436.28690655137,0,52.60918,2,121436.28690655137,1,0.23082718055394771
2012,Soybeans,13130623.85260552,11730313.59652972,1400310.2560757995,6347.4999100000005,179,13130623.85260552,1,0.20686292302138087
2012,Unknown,449801.4868800713,337480.63075299596,112320.85612707534,84.174688,5,112320.85612707534,0.24971206054955303,0.5343666814423729
2013,Alfalfa,41432.65492322052,35635.29028674727,5797.36463647325,40.873286,3,41432.65492322052,1,0.10136854404908997
2013,Corn,17887225.85382969,16200353.097254856,1686872.7565748345,12053.167824,322,17887225.85382969,1,0.14840269475227122
2013,Golf Course/Turf/Sod,2717656.523758154,448679.01840790315,2268977.5053502503,824.5477249999999,42,2717656.523758154,1,0.329593599176828
2013,Multi-Crop,8848764.341016632,7684234.138188035,1164530.2028285947,6893.421324,146,8848764.341016632,1,0.12836534900614516
2013,Other Crop,1102399.7226713272,994174.0262449095,108225.69642641763,791.16113,36,1102399.7226713272,1,0.13933946965662067
2013,Sorghum,212504.25097268328,212504.25097268328,0,160.66034200000001,4,212504.25097268328,1,0.1322692634207658
2013,Soybeans,8758288.44823252,7262778.063934806,1495510.3842977153,6675.093226999999,175,8737319.256994214,0.9976057889207179,0.13120848129590507
2013,Unknown,48278.479121609154,15504.866697972075,32773.612423637074,44.920145999999995,4,48278.479121609154,1,0.10747622931058406
2014,Alfalfa,32921.630244142776,28382.417081967975,4539.2131621748,75.271596,3,32921.630244142776,1,0.04373712262477173
2014,Corn,17621299.504472826,15521494.033142213,2099805.471330611,11426.511553,295,17621299.504472826,1,0.15421416608856794
2014,Golf Course/Turf/Sod,1938207.0157935133,467131.9066976137,1471075.1090958994,875.942847,42,1938207.0157935133,1,0.22127094506583866
2014,Multi-Crop,8798080.572311804,7241290.8103247285,1556789.7619870752,6874.805768,141,8798080.572311804,1,0.1279756966118814
2014,Other Crop,1165134.6089289929,806536.7691171838,358597.8398118092,903.6638379999999,33,1165134.6089289929,1,0.12893451745371193
2014,Sorghum,629.075737149225,629.075737149225,0,2.02343,1,629.075737149225,1,0.031089572515442837
2014,Soybeans,10008298.942403158,9352394.975287275,655903.967115883,7632.175617000001,209,10008298.942403158,1,0.13113297498174115
2014,Unknown,76759.57475058091,10052.876976012125,66706.69777456879,55.846667999999994,6,76759.57475058091,1,0.13744700892554756
2015,Corn,5063615.630589744,4154453.172588608,909162.4580011357,7938.320575999999,196,5063615.630589744,1,0.06378698847081865
2015,Golf Course/Turf/Sod,1627628.623917428,540388.3930295598,1087240.2308878684,822.928981,39,1627628.623917428,1,0.19778482244477277
2015,Multi-Crop,3713458.746028626,2817556.2177811256,895902.5282475001,5655.48685,111,3713458.746028626,1,0.06566116842847271
2015,Other Crop,657877.5380559592,403940.6321600553,253936.90589590382,906.49664,30,657877.5380559592,1,0.07257363227027065
2015,Sorghum,57258.22689895495,0,57258.22689895495,51.799808,2,57258.22689895495,1,0.11053752727993692
2015,Soybeans,4695655.663630949,3886849.287932678,808806.3756982712,7127.532175,173,4695655.663630949,1,0.06588052566217913
2015,Unknown,316462.10024118656,192225.8095634024,124236.2906777842,533.7808339999999,18,316462.10024118656,1,0.05928689830800231
2015,Wheat,15517.20151634755,0,15517.20151634755,85.388746,2,15517.20151634755,1,0.01817241995373436
2016,Alfalfa,76956.93184458851,76956.93184458851,0,18.21087,1,76956.93184458851,1,0.4225878930802785
2016,Corn,13947645.217341857,11888236.276190927,2059408.9411509302,12367.001817,320,13947645.217341857,1,0.11278113663870465
2016,Golf Course/Turf/Sod,2065860.0511613039,507454.4279670415,1558405.6231942626,837.092991,47,2065860.0511613039,1,0.2467897919791929
2016,Multi-Crop,5775544.342767035,4277246.289516462,1498298.0532505729,6439.7683179999995,128,5775544.342767035,1,0.08968559205186977
2016,Other Crop,674122.4938564596,388041.0512740681,286081.44258239167,635.761706,34,674122.4938564596,1,0.10603383115000947
2016,Sorghum,24928.667936834972,24928.667936834972,0,21.448358,2,24928.667936834972,1,0.11622646328840172
2016,Soybeans,4139577.3816277855,3482735.968315366,656841.4133124192,6791.440451999999,183,4139577.3816277855,1,0.06095286281143389
2016,Unknown,304275.2996862173,304275.2996862173,0,408.73285999999996,8,304275.2996862173,1,0.07444356191137098
2017,Alfalfa,10903.9794439199,10903.9794439199,0,16.18744,1,10903.9794439199,1,0.06736074045012615
2017,Corn,12250744.253427763,10769764.285176357,1480979.9682514057,10042.687775999999,279,12132663.03711934,0.990361302638786,0.12198670840593664
2017,Golf Course/Turf/Sod,2158617.885344876,725299.6552963054,1433318.2300485703,870.8842719999999,43,2158617.885344876,1,0.24786506712167106
2017,Multi-Crop,8983485.227313569,6510329.47339408,2473155.7539194883,7790.2055,151,8983485.227313569,1,0.1153176925475659
2017,Other Crop,561406.9235413691,423688.67637919076,137718.2471621784,474.69667799999996,33,561406.9235413691,1,0.11826645299198181
2017,Soybeans,10479600.01771168,8997670.268445363,1481929.7492663176,9704.977309,250,10479600.01771168,1,0.10798170551097865
2017,Unknown,10669.617894785875,0,10669.617894785875,16.18744,1,10669.617894785875,1,0.06591294173004425
2018,Alfalfa,40544.548000186325,36042.33929313795,4502.208707048375,47.752948,2,40544.548000186325,1,0.08490480629632818
2018,Corn,20561118.44199166,18484971.15230521,2076147.28968645,11483.167593,311,20561118.44199166,1,0.1790544139974537
2018,Golf Course/Turf/Sod,2900076.1527130534,1567015.326420344,1333060.8262927097,1137.370003,58,2900076.1527130534,1,0.25498088968968996
