Year,Crop_group,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2021,Corn,9288.1425169533,Total alluvial area,86777.1,10.703448855692686
2021,Corn,9288.1425169533,Alluvial cultivated area,50535.18,18.37955760116675
2021,Other/Unclassified,6208.687122632399,Total basin area,2151543.69,0.28856895407187383
2021,Other/Unclassified,6208.687122632399,Basin cultivated area,876787.92,0.7081173201647667
2021,Other/Unclassified,6208.687122632399,Total alluvial area,86777.1,7.15475295052773
2021,Other/Unclassified,6208.687122632399,Alluvial cultivated area,50535.18,12.285871194348964
2021,Sorghum,2.4281138531999997,Total basin area,2151543.69,1.128544990504004e-4
2021,Sorghum,2.4281138531999997,Basin cultivated area,876787.92,2.76932858883366e-4
2021,Sorghum,2.4281138531999997,Total alluvial area,86777.1,0.00279810439989352
2021,Sorghum,2.4281138531999997,Alluvial cultivated area,50535.18,0.004804799059190052
2021,Soybeans,7284.948588063299,Total basin area,2151543.69,0.3385917107759638
2021,Soybeans,7284.948588063299,Basin cultivated area,876787.92,0.8308678098648187
2021,Soybeans,7284.948588063299,Total alluvial area,86777.1,8.395012725780532
2021,Soybeans,7284.948588063299,Alluvial cultivated area,50535.18,14.415598377334955
2021,Wheat,47.3482201374,Total basin area,2151543.69,0.002200662731482808
2021,Wheat,47.3482201374,Basin cultivated area,876787.92,0.005400190748225636
2021,Wheat,47.3482201374,Total alluvial area,86777.1,0.05456303579792363
2021,Wheat,47.3482201374,Alluvial cultivated area,50535.18,0.09369358165420603
2022,Corn,9225.0115567701,Total basin area,2186962.56,0.4218184492728627
2022,Corn,9225.0115567701,Basin cultivated area,868212,1.0625298379623986
2022,Corn,9225.0115567701,Total alluvial area,86777.1,10.630698141295456
2022,Corn,9225.0115567701,Alluvial cultivated area,50219.82,18.369264479183915
2022,Other/Unclassified,6221.2323775406,Total basin area,2186962.56,0.28446908471723453
2022,Other/Unclassified,6221.2323775406,Basin cultivated area,868212,0.7165568291546996
2022,Other/Unclassified,6221.2323775406,Total alluvial area,86777.1,7.169209823260515
2022,Other/Unclassified,6221.2323775406,Alluvial cultivated area,50219.82,12.388002142462081
2022,Sorghum,4.4515420642,Total basin area,2186962.56,2.0354907512454168e-4
2022,Sorghum,4.4515420642,Basin cultivated area,868212,5.127252404021137e-4
2022,Sorghum,4.4515420642,Total alluvial area,86777.1,0.0051298580664714535
2022,Sorghum,4.4515420642,Alluvial cultivated area,50219.82,0.00886411393788349
2022,Soybeans,6668.6123549927,Total basin area,2186962.56,0.3049257667672509
2022,Soybeans,6668.6123549927,Basin cultivated area,868212,0.768085715815112
2022,Soybeans,6668.6123549927,Total alluvial area,86777.1,7.684760558940895
2022,Soybeans,6668.6123549927,Alluvial cultivated area,50219.82,13.278845593219371
