Region,Year,Crop,irrigated_area_ha,withdrawal_m3,implied_depth_m
Whole basin,2013,Multi-Crop,6893.4152292348,8848764.34101663,0.12836546249947695
Whole basin,2013,Other Crop,791.160430501,1102399.7226713272,0.13933959285264505
Whole basin,2013,Sorghum,160.6601999534,212504.25097268328,0.13226938036571648
Whole basin,2013,Soybeans,6675.087325267899,8758288.448232522,0.1312085973029726
Whole basin,2013,Unknown,44.9201062842,190184717.82753903,423.3843896634629
Whole basin,2014,Alfalfa,75.27152944919999,32921.630244142776,0.04373716129464495
Whole basin,2014,Corn,11426.5014503381,17621299.504472826,0.15421430243595186
Whole basin,2014,Golf Course/Turf/Sod,875.9420725419,1938207.015793513,0.221271140701008
Whole basin,2014,Multi-Crop,6874.799689693599,8798080.572311804,0.12797580976070477
Whole basin,2014,Other Crop,903.6630390326,1165134.6089289929,0.12893463145027007
Whole basin,2014,Sorghum,2.0234282109999997,629.075737149225,0.031089600003072464
Whole basin,2014,Soybeans,7632.1688690709,10008298.942403158,0.13113309092205028
Whole basin,2014,Unknown,55.8466186236,196019814.67342287,350.9967469912093
Whole basin,2015,Corn,7938.3135573952,5063615.630589744,0.06378704486764149
Whole basin,2015,Golf Course/Turf/Sod,822.9282534137,1627628.623917428,0.19778499731484997
Whole basin,2015,Multi-Crop,5655.481849745,3713458.746028626,0.06566122648233877
Whole basin,2015,Other Crop,906.495838528,657877.5380559592,0.0725736964357436
Whole basin,2015,Sorghum,51.7997622016,57258.22689895495,0.11053762501092398
Whole basin,2015,Soybeans,7127.5258732474995,4695655.663630949,0.065880583909988355
Whole basin,2015,Unknown,533.7803620617999,162119675.62237203,30.371982025746046
Whole basin,2015,Wheat,85.3886705042,15517.20151634755,0.018172436020753257
Whole basin,2016,Alfalfa,18.210853899,76956.93184458851,0.4225882667084293
Whole basin,2016,Corn,12366.9908828109,13947645.217341855,0.11278123635336333
Whole basin,2016,Golf Course/Turf/Sod,837.0922508906999,2065860.0511613041,0.24679001017667354
Whole basin,2016,Multi-Crop,6439.7626243285995,5775544.342767035,0.08968567134676311
Whole basin,2016,Other Crop,635.7611438962,674122.4938564596,0.10603392489908486
Whole basin,2016,Sorghum,21.448339036599997,24928.667936834972,0.11622656604922205
Whole basin,2016,Soybeans,6791.434447400399,4139577.3816277855,0.06095291670248423
Whole basin,2016,Unknown,408.732498622,171301295.03725085,41.91036817839925
Whole basin,2017,Alfalfa,16.187425687999998,10903.9794439199,0.067360800006657
Whole basin,2017,Corn,10042.6788968352,12250744.253427764,0.1219868162596377
Whole basin,2017,Golf Course/Turf/Sod,870.8835020143999,2158617.885344876,0.24786528626984872
Whole basin,2017,Multi-Crop,7790.198612349999,8983485.227313569,0.1153177945049029
Whole basin,2017,Other Crop,474.6962583006,561406.9235413691,0.11826655755644483
Whole basin,2017,Soybeans,9704.9687284193,10479600.017711682,0.10798180098225366
Whole basin,2017,Unknown,16.187425687999998,174677458.17480212,1079.0934985066426
Whole basin,2018,Alfalfa,47.7529057796,40544.548000186325,0.08490488136432302
Whole basin,2018,Corn,11483.1574402461,20561118.44199166,0.1790545723071703
Whole basin,2018,Golf Course/Turf/Sod,1137.3689974031,2900076.1527130534,0.25498111512927274
Whole basin,2018,Multi-Crop,7868.505284115699,11970965.903035238,0.1521377373565632
Whole basin,2018,Other Crop,330.62816967739997,629051.067512474,0.1902593684398552
Whole basin,2018,Pasture,0.8093712844,2466.963675095,0.30480000003012214
Whole basin,2018,Sorghum,44.1107349998,54963.95068111659,0.12460447707653431
Whole basin,2018,Soybeans,8103.6276422339,10261249.062829023,0.12662537712555041
Whole basin,2018,Unknown,0,163515446.66528565,Inf
Whole basin,2018,Wheat,16.187425687999998,456.388279892575,0.00281940000027863
Whole basin,2019,Corn,10635.341019837098,7938923.468004843,0.0746466281917723
Whole basin,2019,Golf Course/Turf/Sod,1115.9206583665,1911958.5222905024,0.171334629210042
Whole basin,2019,Multi-Crop,7176.4928359537,4554693.359236021,0.06346684185926227
Whole basin,2019,Other Crop,548.7537308231999,424367.09138984187,0.07733288496339472
Whole basin,2019,Sorghum,25.8998811008,1640.530843938175,0.006334125000625976
Whole basin,2019,Soybeans,5807.036622748899,2635938.352020632,0.04539214272722888
Whole basin,2019,Unknown,0,146686572.89770848,Inf
Whole basin,2020,Alfalfa,29.5420518806,10410.5867089009,0.03523989041444152
Whole basin,2020,Corn,12100.100701779998,10459740.960127167,0.08644342074432881
Whole basin,2020,Golf Course/Turf/Sod,1177.635218802,2423742.4715073355,0.20581436703064906
Whole basin,2020,Multi-Crop,8045.352909757099,6348410.31257922,0.07890779166293761
Whole basin,2020,Other Crop,441.9167212824,513387.4756056449,0.11617290111038198
Whole basin,2020,Sorghum,0.4046856422,24.66963675095,0.006096000000602443
Whole basin,2020,Soybeans,6993.5749256793,4938441.8937154235,0.07061398420973868
Whole basin,2020,Unknown,0,163918980.24843934,Inf
Whole basin,2020,Wheat,2.0234282109999997,2466.963675095,0.12192000001204888
Whole basin,2021,Alfalfa,29.5420518806,19390.3344862467,0.06563638356813041
Whole basin,2021,Corn,10951.400506395301,14034260.311974443,0.1281503703912467
Whole basin,2021,Golf Course/Turf/Sod,1137.166654582,2659115.4757481497,0.23383691959606287
Whole basin,2021,Multi-Crop,8584.596527988599,9646605.063179104,0.1123710943400544
Whole basin,2021,Other Crop,562.513042658,908718.4045396188,0.16154619282172036
Whole basin,2021,Sorghum,32.779537018199996,42148.07438899807,0.12858044445715153
Whole basin,2021,Soybeans,8605.640181383,8588166.63319797,0.09979695237290039
Whole basin,2021,Unknown,3.6421707798,156216034.1907757,4289.091413757207
Whole basin,2021,Wheat,47.3482201374,16948.040447902647,0.03579446154199895
Whole basin,2022,Alfalfa,67.9871878896,59256.46747578189,0.0871582857228992
Whole basin,2022,Corn,11176.8104091007,14290873.873457825,0.12786182596263335
Whole basin,2022,Golf Course/Turf/Sod,1113.6948873344,2835589.7222460704,0.25461100293213895
Whole basin,2022,Multi-Crop,8472.4986050992,10794754.627205068,0.12740934086089092
Whole basin,2022,Other Crop,570.8090983231,785098.8547806082,0.13754140518906235
Whole basin,2022,Sorghum,68.39187353179999,31355.108310457446,0.045846248525240864
Whole basin,2022,Soybeans,7842.2007173727,9801863.42207121,0.12498868334697556
Whole basin,2022,Unknown,0,155108552.52293366,Inf
Whole basin,2022,Wheat,21.0436533944,12741.867381865675,0.06054969231367619
Whole basin,2023,Alfalfa,42.491992431,56135.75842678672,0.13210902858448437
Whole basin,2023,Corn,11843.9346902674,15890662.812301803,0.13416709250651093
Whole basin,2023,Golf Course/Turf/Sod,1119.3604863252,3461791.4467138094,0.3092651106596306
Whole basin,2023,Multi-Crop,8478.973575374399,11149368.3206816,0.13149431616419782
Whole basin,2023,Other Crop,509.4992235298,1093827.023900372,0.21468669104583932
Whole basin,2023,Sorghum,4.8562277063999995,14740.107958692624,0.30353000002999664
Whole basin,2023,Soybeans,8326.0024026228,12211408.517628372,0.14666592594042033
Whole basin,2023,Unknown,0,143553751.0570686,Inf
