Year,Crop,irrigated_area_ha_Alluvial corridor,irrigated_area_ha_Whole basin,withdrawal_m3_Alluvial corridor,withdrawal_m3_Whole basin,area_capture,withdrawal_capture
2022,Multi-Crop,5512.4254752273,8472.4986050992,7025752.194031678,10794754.627205068,0.6506257164692396,0.6508487164984088
2022,Other Crop,372.1084480029,570.8090983231,573729.4070984686,785098.8547806082,0.65189649060616806,0.7307734606985185
2022,Sorghum,4.4515420642,68.39187353179999,3392.075053255625,31355.108310457446,0.06508875739644972,0.10818253343823761
2022,Soybeans,6668.6123549927,7842.2007173727,8339903.743754785,9801863.42207121,0.8503496142632299,0.8508488013590888
2022,Unknown,0,0,135491639.75794786,155108552.52293366,NA,0.8735278458479243
2022,Wheat,21.0436533944,21.0436533944,12741.867381865675,12741.867381865675,1,1
2023,Alfalfa,29.5420518806,42.491992431,30565.67993442705,56135.75842678672,0.6952380952380952,0.5444957152274226
2023,Corn,9592.2637770666,11843.9346902674,13159055.60896099,15890662.812301803,0.8098882700652612,0.828099857406443
2023,Golf Course/Turf/Sod,280.04246440239996,1119.3604863252,1178123.1726783682,3461791.4467138094,0.25018076644974685,0.34032182204295713
2023,Multi-Crop,5485.9185656632,8478.973575374399,7628752.125135149,11149368.3206816,0.6470026727758688,0.6842317793900612
2023,Other Crop,290.96897674179996,509.4992235298,634984.1151510775,1093827.023900372,0.5710881652104844,0.5805160242675749
2023,Sorghum,4.8562277063999995,4.8562277063999995,14740.107958692624,14740.107958692624,1,1
2023,Soybeans,6992.5632115738,8326.0024026228,10664881.324529693,12211408.517628372,0.8398464080878779,0.8733539058278073
2023,Unknown,0,0,121323188.95686664,143553751.0570686,NA,0.84514119668413
2009,Alfalfa,0,26.304566743,0,4329.521249791725,0,0
2015,Sorghum,0,51.7997622016,0,57258.22689895495,0,0
2015,Wheat,0,85.3886705042,0,15517.20151634755,0,0
2018,Pasture,0,0.8093712844,0,2466.963675095,0,0
